Name,kentucky_jv_points,minnesota_jv_points,wayne_jv_points,adafc_jv_points,navy_jv_points,School,total_points
Pelli & Stearns,11.0,0.0,0.0,22.0,0.0,Emory University,33
Foos & Sanders,23.0,0.0,0.0,0.0,0.0,Liberty University,23
Ingram & Puranik,10.0,0.0,0.0,13.0,0.0,Western Kentucky University,23
Cheng & Wang,0.0,14.0,0.0,9.0,0.0,Emory University,23
Severson & Kleiman,0.0,23.0,0.0,0.0,0.0,University of Iowa,23
Kardos & Matzen,0.0,0.0,0.0,23.0,0.0,James Madison University,23
Bodenhorn & Campbell,0.0,0.0,0.0,22.0,0.0,Missouri State University,22
Yisrael & Wang,0.0,0.0,18.0,0.0,0.0,Emory University,18
Cruzan & Horton,0.0,0.0,0.0,0.0,18.0,Southern Nazarene University,18
Chen & Taxali,6.0,0.0,0.0,12.0,0.0,George Mason University,18
Layton & Turner,17.0,0.0,0.0,0.0,0.0,Liberty University,17
Reyes & Shananier,0.0,0.0,0.0,17.0,0.0,George Mason University,17
Bui & Jongkind,15.0,0.0,0.0,0.0,0.0,Texas,15
Hoegerl & Wineman,15.0,0.0,0.0,0.0,0.0,Liberty University,15
Haroon & Corvalan,0.0,0.0,0.0,0.0,14.0,George Mason University,14
Morales & Lemaster,0.0,0.0,0.0,13.0,0.0,Oklahoma,13
Walker & Ahmed,0.0,0.0,13.0,0.0,0.0,Purdue University,13
Bandukwalla & Kibe,0.0,0.0,12.0,0.0,0.0,Emory University,12
Van Buren & Whittaker,0.0,0.0,0.0,11.0,0.0,Northern Iowa,11
Catapang & Dominguez,0.0,0.0,0.0,10.0,0.0,Cal State Fullerton,10
Carrillo & Goodson,0.0,0.0,0.0,10.0,0.0,UT San Antonio,10
Lawrence & Satterfield,9.0,0.0,0.0,0.0,0.0,Navy,9
Jongkind & Bui,0.0,0.0,0.0,9.0,0.0,Texas,9
Gorman & Badmus,0.0,0.0,0.0,6.0,3.0,George Mason University,9
O'Connor & Taxali,0.0,0.0,0.0,0.0,9.0,George Mason University,9
Koenig & Shoemaker,9.0,0.0,0.0,0.0,0.0,Liberty University,9
Sanchez & Sanchez,4.0,0.0,5.0,0.0,0.0,Southwestern College,9
Pinto & Tiffany,0.0,0.0,0.0,8.0,0.0,James Madison University,8
Cooper & Stearns,0.0,0.0,0.0,0.0,8.0,Emory University,8
Adams & Salonga,0.0,8.0,0.0,0.0,0.0,Macalester College,8
Schmidtler & Jorquez,0.0,0.0,0.0,8.0,0.0,Liberty University,8
Baker & Stockstill,0.0,0.0,0.0,6.0,0.0,Southern Nazarene University,6
Winnick & Kelso,0.0,0.0,0.0,6.0,0.0,Minnesota,6
Widi & Hawley,0.0,0.0,0.0,6.0,0.0,University of Wyoming,6
Fish & Livnat,0.0,0.0,0.0,6.0,0.0,Indiana University,6
Livnat & Midithuri,6.0,0.0,0.0,0.0,0.0,Indiana University,6
Benson & Usenov,6.0,0.0,0.0,0.0,0.0,Minnesota,6
Ahmed & Hawksworth,0.0,6.0,0.0,0.0,0.0,Purdue University,6
Dougherty & Campbell,6.0,0.0,0.0,0.0,0.0,Missouri State University,6
Vasquez & Guansing,0.0,0.0,0.0,6.0,0.0,Cal State Fullerton,6
King & Sexton,0.0,0.0,0.0,4.0,0.0,Boston College,4
Tong & Wilder,0.0,0.0,0.0,4.0,0.0,United States Military Academy,4
Ellis & Galindo,0.0,0.0,0.0,4.0,0.0,Missouri State University,4
Feyes & Draeger,0.0,0.0,0.0,4.0,0.0,Kansas State,4
kim & Torres,0.0,0.0,4.0,0.0,0.0,CSU Long Beach,4
Galindo & Ellis,4.0,0.0,0.0,0.0,0.0,Missouri State University,4
Martinez & Hernandez,4.0,0.0,0.0,0.0,0.0,University of Kansas,4
Mott & Wilson-Axpe,4.0,0.0,0.0,0.0,0.0,University of Kansas,4
Kelso & Winnick,0.0,4.0,0.0,0.0,0.0,Minnesota,4
Sahin & Awan,0.0,0.0,0.0,3.0,0.0,New York University,3
Wolf & Boncher,0.0,0.0,0.0,3.0,0.0,University of Michigan,3
Chung & Srivathsan,3.0,0.0,0.0,0.0,0.0,University of Michigan,3
Bass & Marcy,0.0,0.0,0.0,0.0,3.0,Cornell,3
Srivathsan & Chung,0.0,0.0,1.0,0.0,0.0,University of Michigan,1
Palmer & Newton,0.0,0.0,0.0,1.0,0.0,Johnson County Community College,1
Bengs & Hogle,0.0,1.0,0.0,0.0,0.0,Northern Iowa,1
