Name,kentucky_jv_points,minnesota_jv_points,gonzaga_jv_points,adafc_jv_points,navy_jv_points,texas_jv_points,School,total_points
Ayekof & Flores Palacios,6.0,11.0,10.0,6.0,0.0,0.0,Southwestern College,33
Asase & sterbenc,6.0,0.0,10.0,11.0,0.0,0.0,Michigan State University,27
Etienne & Yoon,8.0,0.0,0.0,10.0,0.0,9.0,Liberty University,27
Ding & Makode,6.0,11.0,0.0,6.0,0.0,0.0,University of Michigan,23
Hughes & Klain,5.0,0.0,7.0,5.0,5.0,0.0,Navy,22
Lindsay & Sferrazza,0.0,6.0,0.0,5.0,0.0,9.0,Wake Forest University,20
Duggal & Jones,5.0,8.0,0.0,5.0,0.0,0.0,Indiana University,18
Badmus & Haroon,0.0,0.0,0.0,4.0,8.0,6.0,George Mason University,18
Bryen & McLaughlin,0.0,0.0,0.0,5.0,6.0,6.0,Binghamton University,17
Crowley & Olabanji,0.0,0.0,0.0,4.0,0.0,13.0,Trinity University,17
Neale & O'Connor,0.0,0.0,0.0,0.0,11.0,5.0,George Mason University,16
Esteves & atizol,15.0,0.0,0.0,0.0,0.0,0.0,George Mason University,15
Figueroa & Munoz,5.0,0.0,3.0,6.0,0.0,0.0,Southwestern College,14
Alegre & Poteet,0.0,0.0,0.0,0.0,8.0,6.0,George Mason University,14
Vargas & bowman,0.0,0.0,0.0,13.0,0.0,0.0,University of North Texas,13
Anteen & Rowe,0.0,0.0,0.0,6.0,0.0,7.0,West Point,13
Hedrick & Lyday,3.0,5.0,5.0,0.0,0.0,0.0,University of Wyoming,13
Cruzan & Doherty,0.0,0.0,0.0,4.0,4.0,4.0,Southern Nazarene University,12
Pierson & Willson,3.0,5.0,0.0,4.0,0.0,0.0,University of Wyoming,12
Jennings & Luce,0.0,0.0,0.0,4.0,2.0,5.0,Southern Nazarene University,11
Wright & bustos,0.0,6.0,0.0,3.0,0.0,0.0,Oklahoma,9
Khade & Khalif,0.0,0.0,0.0,0.0,9.0,0.0,New York University,9
Jorquez & Schmidtler,0.0,0.0,0.0,5.0,0.0,4.0,Liberty University,9
Parrish & Powers,0.0,0.0,0.0,8.0,0.0,0.0,University of Utah,8
Spencer & Tooley,8.0,0.0,0.0,0.0,0.0,0.0,Liberty University,8
Kibe & Wang,8.0,0.0,0.0,0.0,0.0,0.0,Emory University,8
