Name,kentucky_n_points,minnesota_n_points,navy_n_points,indiana_n_points,texas_n_points,School,total_points
Foudali & Garcia,7.0,8.0,5.0,11.0,7.0,Indiana University,38
Bell & Rosa-Pérez Montes,0.0,0.0,14.0,0.0,15.0,George Mason University,29
Fleischman & Thomas,0.0,12.0,0.0,6.0,0.0,Indiana University,18
Lovette & Peebles,4.0,12.0,2.0,0.0,0.0,Wake Forest University,18
Fariss & Vardhanapu,0.0,0.0,8.0,0.0,9.0,George Mason University,17
Kinghorn & Porter,8.0,6.0,3.0,0.0,0.0,Wake Forest University,17
Peters & Ronchetti,0.0,0.0,8.0,0.0,7.0,Liberty University,15
Panchal & Pelaez,15.0,0.0,0.0,0.0,0.0,University of Miami,15
Asmi Jan & Estrelita,0.0,3.0,4.0,8.0,0.0,University of Kentucky,15
Handley & Hansen,9.0,0.0,0.0,5.0,0.0,West Georgia,14
Ramaswamy & Robinson,0.0,0.0,6.0,0.0,8.0,Binghamton University,14
Hathaway & Hathaway,0.0,0.0,6.0,0.0,6.0,Liberty University,12
Bell & Rotell,6.0,5.0,0.0,0.0,0.0,West Georgia,11
Bridgers & Sun,0.0,0.0,4.0,0.0,6.0,George Mason University,10
Daley & Stene,0.0,0.0,5.0,0.0,5.0,Liberty University,10
Arciniega & Arreola,0.0,9.0,0.0,0.0,0.0,Southwestern College,9
Gakhare & Guo,0.0,0.0,8.0,0.0,0.0,Binghamton University,8
Travers & Tseng,0.0,0.0,8.0,0.0,0.0,New York University,8
Del Pino & Oyedepo,0.0,7.0,0.0,0.0,0.0,University of Miami,7
Mitchell & Richardson,0.0,7.0,0.0,0.0,0.0,West Georgia,7
Del Pino & Montegomery,7.0,0.0,0.0,0.0,0.0,University of Miami,7
DeSantis & Zahler,6.0,0.0,0.0,0.0,0.0,University of Miami,6
Tran & Wong,0.0,0.0,0.0,0.0,6.0,West Point,6
Colyer & Pisinski,6.0,0.0,0.0,0.0,0.0,University of Miami,6
Booth & Goossens,0.0,0.0,0.0,0.0,6.0,Southern Nazarene University,6
Amador & Madsen,6.0,0.0,0.0,0.0,0.0,Navy,6
Allen & Simon,0.0,0.0,6.0,0.0,0.0,Fairmont State University,6
Barbee Doerfler & Hilts,0.0,0.0,0.0,0.0,6.0,James Madison University,6
Godsey & Handley,0.0,6.0,0.0,0.0,0.0,West Georgia,6
Pena & Thomas,0.0,0.0,5.0,0.0,0.0,Indiana University,5
Landeros-Jimenez & Tinch,0.0,0.0,5.0,0.0,0.0,Liberty University,5
Graham & Madsen,0.0,5.0,0.0,0.0,0.0,Navy,5
Chongan & Jallow,0.0,5.0,0.0,0.0,0.0,Johnson County Community College,5
Cheng & Gonzalez,0.0,0.0,5.0,0.0,0.0,New York University,5
Gamliel & Kaptur,5.0,0.0,0.0,0.0,0.0,Navy,5
Elsayed & Sanchez,0.0,0.0,5.0,0.0,0.0,George Mason University,5
Bruce & Marquis,0.0,0.0,0.0,0.0,5.0,Boston College,5
Carlson & Thomas,5.0,0.0,0.0,0.0,0.0,Indiana University,5
DaCruz & Quintana,0.0,0.0,0.0,0.0,5.0,Suffolk University,5
Dean & Howell,0.0,0.0,0.0,0.0,5.0,West Point,5
Fernandez Suarez & Fernandez Suarez,0.0,0.0,0.0,0.0,5.0,Boston College,5
Adhikari & Woods,0.0,4.0,0.0,0.0,0.0,Emory University,4
Brady & Salemme,0.0,0.0,0.0,0.0,4.0,Boston College,4
Beri & Erikson,0.0,0.0,0.0,0.0,4.0,West Point,4
Muckerheide & Richardson,4.0,0.0,0.0,0.0,0.0,Marian University,4
Datwani & Lippmann,0.0,0.0,0.0,0.0,4.0,Texas,4
Burgos & Edler,0.0,0.0,0.0,0.0,4.0,James Madison University,4
Collins & Ratcliffe,0.0,4.0,0.0,0.0,0.0,Navy,4
Fleischman & Pena,4.0,0.0,0.0,0.0,0.0,Indiana University,4
Fesehaie & Wellmann,0.0,0.0,0.0,0.0,4.0,Suffolk University,4
Graham & Gulck,4.0,0.0,0.0,0.0,0.0,Navy,4
Graham & Gutting,0.0,0.0,4.0,0.0,0.0,Navy,4
Khairi & Makour,0.0,4.0,0.0,0.0,0.0,Speech and Debate Team at The Ohio State University,4
Plascencia & Soto,0.0,4.0,0.0,0.0,0.0,Southwestern College,4
Jain & Nelson,4.0,0.0,0.0,0.0,0.0,Navy,4
Arzu-Porter & Kruse,0.0,3.0,0.0,0.0,0.0,University of Kentucky,3
Luevano & Perea,0.0,0.0,0.0,0.0,3.0,University of New Mexico,3
Frazier & Perez-Pantoja,0.0,0.0,0.0,0.0,3.0,University of New Mexico,3
Liu & Moore,3.0,0.0,0.0,0.0,0.0,Navy,3
Haq & Poole,0.0,0.0,0.0,0.0,1.0,Suffolk University,1
