Name,kentucky_v_points,minnesota_v_points,wayne_v_points,georgetown_v_points,navy_v_points,mukai_v_points,School,total_points
Revare & Marshall,30.0,0.0,0.0,30.0,0.0,0.0,University of Kansas,60
Rimpson & Stockstill,5.0,27.0,0.0,0.0,20.0,0.0,University of Kentucky,52
Gallagher & Hecht,26.0,0.0,0.0,24.0,0.0,0.0,Emory University,50
Miklovis & Montford,13.0,0.0,0.0,0.0,33.0,0.0,Michigan State University,46
Bennett & Shehzad,5.0,0.0,23.0,4.0,11.0,0.0,Michigan State University,43
Anderson & Feinstein,9.0,0.0,0.0,12.0,21.0,0.0,Texas,42
Gabay & Slish,15.0,0.0,0.0,4.0,18.0,0.0,University of Kentucky,37
Deo & Rubin,18.0,0.0,0.0,18.0,0.0,0.0,Northwestern University,36
Gusis & Lewis,17.0,0.0,0.0,19.0,0.0,0.0,Michigan State University,36
Dawson & Weinhardt,7.0,13.0,0.0,4.0,0.0,11.0,Gonzaga University,35
Augustine & Ervin,4.0,8.0,11.0,0.0,11.0,0.0,University of Kentucky,34
Geevarghese & Young,9.0,0.0,24.0,0.0,0.0,0.0,Emory University,33
Bald & Cai,16.0,0.0,0.0,17.0,0.0,0.0,Dartmouth College,33
Lobo & Yang,19.0,0.0,0.0,13.0,0.0,0.0,Emory University,32
Keller & Dal Pra,0.0,22.0,0.0,9.0,0.0,0.0,West Georgia,31
T. Louis & Cohn,17.0,0.0,0.0,13.0,0.0,0.0,Binghamton University,30
Connor & Rea,5.0,8.0,0.0,0.0,16.0,0.0,Navy,29
Adam & McBlain,17.0,0.0,0.0,10.0,0.0,0.0,University of Kentucky,27
Carpenter & Goldberg,9.0,0.0,0.0,4.0,14.0,0.0,Dartmouth College,27
Conry & Piekut,13.0,0.0,0.0,13.0,0.0,0.0,Emory University,26
Reese & Bradley,0.0,0.0,0.0,0.0,0.0,25.0,University of Southern California,25
Ortega & Medina,11.0,0.0,0.0,13.0,0.0,0.0,CSU Long Beach,24
Park & Barrett,0.0,0.0,0.0,23.0,0.0,0.0,University of Michigan,23
Rahman & Bhadani,0.0,0.0,0.0,0.0,0.0,22.0,University of Southern California,22
Kim & Pierce,13.0,0.0,0.0,9.0,0.0,0.0,Emory University,22
Davis & Fuchs,5.0,0.0,0.0,0.0,17.0,0.0,George Mason University,22
Liu & Wang,0.0,0.0,21.0,0.0,0.0,0.0,Emory University,21
Ravikumar & Tai,4.0,12.0,0.0,4.0,0.0,0.0,Emory University,20
Maxwell & Rupp,10.0,0.0,0.0,10.0,0.0,0.0,Emory University,20
Bressler & Mojica,5.0,0.0,0.0,15.0,0.0,0.0,Wake Forest University,20
Gill & Pack,4.0,9.0,0.0,0.0,6.0,0.0,Samford University,19
Davidov & Saudek,0.0,0.0,0.0,4.0,15.0,0.0,University of Michigan,19
Shah & Shih,9.0,0.0,0.0,10.0,0.0,0.0,University of Michigan,19
Leverett & Sencion,9.0,0.0,0.0,10.0,0.0,0.0,Wake Forest University,19
Aoki & Bodet,0.0,14.0,0.0,4.0,0.0,0.0,Harvard,18
Willingham & Williams,9.0,0.0,0.0,9.0,0.0,0.0,University of Kansas,18
Bathily & wolfe,9.0,0.0,0.0,9.0,0.0,0.0,Wake Forest University,18
