Rank,School,Varsity ADA points,Junior_varsity ADA points,Novice ADA points,Total ADA points
1.,James Madison University,86.0,69.0,38.0,193.0
2.,University of Kentucky,150.0,0.0,0.0,150.0
3.,University of Minnesota,98.0,27.5,0.0,125.5
4.,Northwestern University,111.5,0.0,0.0,111.5
5.,Michigan State University,83.5,0.0,0.0,83.5
6.,Georgetown University,80.0,0.0,0.0,80.0
7.,United States Naval Academy,19.0,8.0,42.0,69.0
8.,Wayne State University,35.5,25.0,0.0,60.5
9.,University of Iowa,59.0,0.0,0.0,59.0
10.,New York University,17.0,40.0,0.0,57.0
11.,University of Georgia,25.5,26.0,0.0,51.5
12.,Cornell University,11.0,8.0,31.0,50.0
13.,University of Texas,36.0,0.0,0.0,36.0
14.,Boston College,4.5,9.0,10.0,23.5
