School,Name_x,Varsity ADA points,Name_y,Junior_varsity ADA points,Name,Novice ADA points,Total ADA points
University of Kansas,Revare & Marshall,60.0,Mott & Wilson-Axpe,4.0,0,0.0,64.0
University of Kansas,Revare & Marshall,60.0,Martinez & Hernandez,4.0,0,0.0,64.0
University of Kansas,Willingham & Williams,18.0,Mott & Wilson-Axpe,4.0,0,0.0,22.0
University of Kansas,Willingham & Williams,18.0,Martinez & Hernandez,4.0,0,0.0,22.0
University of Kansas,Larson & Schultz,16.0,Mott & Wilson-Axpe,4.0,0,0.0,20.0
University of Kansas,Larson & Schultz,16.0,Martinez & Hernandez,4.0,0,0.0,20.0
University of Kansas,Schultz & Larson,13.0,Mott & Wilson-Axpe,4.0,0,0.0,17.0
University of Kansas,Schultz & Larson,13.0,Martinez & Hernandez,4.0,0,0.0,17.0
University of Kansas,Wilkus & Harris,9.0,Mott & Wilson-Axpe,4.0,0,0.0,13.0
University of Kansas,Wilkus & Harris,9.0,Martinez & Hernandez,4.0,0,0.0,13.0
University of Kansas,Brown & Walawender,5.0,Mott & Wilson-Axpe,4.0,0,0.0,9.0
University of Kansas,Brown & Walawender,5.0,Martinez & Hernandez,4.0,0,0.0,9.0
University of Kansas,Spiers & Barreto,5.0,Mott & Wilson-Axpe,4.0,0,0.0,9.0
University of Kansas,Spiers & Barreto,5.0,Martinez & Hernandez,4.0,0,0.0,9.0
University of Kansas,Ain & Bath,5.0,Mott & Wilson-Axpe,4.0,0,0.0,9.0
University of Kansas,Ain & Bath,5.0,Martinez & Hernandez,4.0,0,0.0,9.0
University of Kansas,Harris & Wilkus,5.0,Mott & Wilson-Axpe,4.0,0,0.0,9.0
University of Kansas,Harris & Wilkus,5.0,Martinez & Hernandez,4.0,0,0.0,9.0
University of Kansas,Harker & Boyle,4.0,Mott & Wilson-Axpe,4.0,0,0.0,8.0
University of Kansas,Harker & Boyle,4.0,Martinez & Hernandez,4.0,0,0.0,8.0
University of Kansas,McConnell & Suleman,4.0,Mott & Wilson-Axpe,4.0,0,0.0,8.0
University of Kansas,McConnell & Suleman,4.0,Martinez & Hernandez,4.0,0,0.0,8.0
University of Kansas,Levin & Doyle,3.0,Mott & Wilson-Axpe,4.0,0,0.0,7.0
University of Kansas,Levin & Doyle,3.0,Martinez & Hernandez,4.0,0,0.0,7.0
University of Kansas,Foust & Sharman,3.0,Mott & Wilson-Axpe,4.0,0,0.0,7.0
University of Kansas,Foust & Sharman,3.0,Martinez & Hernandez,4.0,0,0.0,7.0
University of Kentucky,Rimpson & Stockstill,52.0,0,0.0,Agbozo & Heffner,11.0,63.0
University of Kentucky,Gabay & Slish,37.0,0,0.0,Agbozo & Heffner,11.0,48.0
University of Kentucky,Augustine & Ervin,34.0,0,0.0,Agbozo & Heffner,11.0,45.0
University of Kentucky,Adam & McBlain,27.0,0,0.0,Agbozo & Heffner,11.0,38.0
University of Kentucky,Bisevac & Ervin,8.0,0,0.0,Agbozo & Heffner,11.0,19.0
Emory University,Gallagher & Hecht,50.0,Yisrael & Wang,18.0,Yen & Cao,8.0,76.0
Emory University,Gallagher & Hecht,50.0,Cheng & Wang,14.0,Yen & Cao,8.0,72.0
Emory University,Gallagher & Hecht,50.0,Bandukwalla & Kibe,12.0,Yen & Cao,8.0,70.0
Emory University,Gallagher & Hecht,50.0,Pelli & Stearns,11.0,Yen & Cao,8.0,69.0
Emory University,Gallagher & Hecht,50.0,Cooper & Stearns,8.0,Yen & Cao,8.0,66.0
Emory University,Geevarghese & Young,33.0,Yisrael & Wang,18.0,Yen & Cao,8.0,59.0
Emory University,Geevarghese & Young,33.0,Cheng & Wang,14.0,Yen & Cao,8.0,55.0
Emory University,Geevarghese & Young,33.0,Bandukwalla & Kibe,12.0,Yen & Cao,8.0,53.0
Emory University,Geevarghese & Young,33.0,Pelli & Stearns,11.0,Yen & Cao,8.0,52.0
Emory University,Geevarghese & Young,33.0,Cooper & Stearns,8.0,Yen & Cao,8.0,49.0
Emory University,Lobo & Yang,32.0,Yisrael & Wang,18.0,Yen & Cao,8.0,58.0
Emory University,Lobo & Yang,32.0,Cheng & Wang,14.0,Yen & Cao,8.0,54.0
