School,NDT pts,Varsity pts,District,CC
Baylor University,231,192,3,N
Binghamton University,396,222,8,N
"California State University, Long Beach",317,255,1,N
"California State University, Fullerton",181,101,1,N
Dartmouth College,288,261,8,N
Emory University,637,495,6,N
George Mason University,872,266,7,N
Georgetown University,392,350,7,N
University of Georgia,171,91,6,N
Gonzaga University,221,206,2,N
Harvard University,285,276,8,N
University of Houston,420,206,3,N
Indiana University,291,110,5,N
University of Iowa,285,277,4,N
University of Kansas,478,438,3,N
Kansas State University,159,159,3,N
University of Kentucky,404,392,6,N
Macalaster College,213,160,4,N
University of Michigan,460,364,5,N
Michigan State University,312,312,5,N
University of Minnesota,323,283,4,N
Missouri State University,354,181,3,N
New York University,358,213,8,N
Northwestern University,343,343,5,N
University of Oklahoma,285,232,3,N
Samford University,488,200,6,N
University of Southern California,191,191,1,N
Southern Nazarene University,89,36,3,N
University of Texas,368,368,3,N
Trinity University,138,129,3,N
"University of California, Berkeley",144,144,1,N
"University of Texas, Dallas",233,233,3,N
Wake Forest University,539,429,6,N
Weber State University,74,40,2,N
University of West Georgia,148,148,6,N
Western Kentucky University,92,23,6,N
Wichita State University,219,208,3,N
University of Wyoming,216,216,2,N
University of Rochester,286,55,8,N
James Madison University,517,257,7,N
Liberty University,846,169,7,N
United States Military Academy,581,110,8,N
University of Central Oklahoma,58,49,3,N
Missouri Valley College,78,43,3,N
Monmouth University,223,17,7,N
"University of Texas, San Antonio",174,21,3,N
Johnson County Community College,57,0,3,Y
University of Northern Iowa,142,0,4,N
Cornell University,515,123,8,N
Fordham University,22,22,8,N
The New School,85,64,8,N
Suffolk University,281,45,8,N
"University of Massachusetts, Amherst",30,30,8,N
United States Naval Academy,262,78,7,N
Purdue University,37,28,5,N
Wayne State University,147,83,5,N
Boston College,179,32,8,N
West Virginia University,72,0,7,N
Towson University,85,58,7,N
University of North Texas,58,58,3,N
Georgia State University,29,17,6,N
Oakton Community College,11,11,5,Y
Southwestern College,90,0,1,Y
University of Virginia,20,0,7,N
"University of California, Davis",33,33,1,N
"University of Nebraska, Lincoln",53,12,4,N
University of Pennsylvania,23,23,7,N
