School,NDT pts,Varsity pts,District,CC
Baylor University,126,126,3,N
Binghamton University,449,238,8,N
"California State University, Long Beach",177,135,1,N
"California State University, Fullerton",175,133,1,N
Dartmouth College,213,201,8,N
Emory University,503,333,6,N
George Mason University,647,221,7,N
Georgetown University,152,152,7,N
Gonzaga University,85,85,2,N
Harvard University,137,126,8,N
Indiana University,117,51,5,N
Macalester College,122,82,4,N
Michigan State University,233,221,5,N
Missouri State University,308,195,3,N
New York University,230,78,8,N
Northwestern University,208,208,5,N
University of Oklahoma,185,140,3,N
Southern Nazarene University,162,32,3,N
University of Texas,116,79,3,N
"University of Texas, Dallas",169,169,3,N
"University of California, Berkeley",133,133,1,N
University of Georgia,70,47,6,N
University of Houston,253,146,3,N
University of Iowa,235,144,4,N
University of Kansas,400,298,3,N
University of Kentucky,298,298,6,N
University of Michigan,335,270,5,N
University of North Texas,66,55,3,N
University of Southern California,142,142,1,N
Wake Forest University,228,196,6,N
University of West Georgia,192,114,6,N
Western Kentucky University,105,69,6,N
Wichita State University,176,176,3,N
University of Minnesota,164,80,4,N
University of Northern Iowa,98,19,4,N
Weber State University,11,0,2,N
James Madison University,368,211,7,N
Liberty University,861,159,7,N
United States Naval Academy,219,107,7,N
Samford University,164,104,6,N
"University of Texas, San Antonio",168,54,3,N
United States Military Academy,507,114,8,N
University of Rochester,160,89,8,N
Suffolk University,177,9,8,N
Towson University,70,0,7,N
Kansas State University,170,109,3,N
Texas A&M University,18,18,3,N
University of Central Oklahoma,56,44,3,N
Johnson County Community College,35,0,3,Y
Monmouth University,81,0,7,N
University of Missouri-Kansas City,16,0,3,N
Arizona State University,71,71,1,N
Southwestern College,191,33,1,Y
University of Wyoming,35,11,2,N
University of Louisville,46,0,6,N
Cornell University,318,61,8,N
The New School,31,31,8,N
Purdue University,43,9,5,N
Trinity University,95,63,3,N
Wayne State University,9,9,5,N
West Virginia University,33,0,7,N
Stanford University,29,29,1,N
Boston College,55,11,8,N
Schreiner University,37,0,3,N
"University of California, Davis",30,30,1,N
Fairmont State University,11,0,7,N
Georgia Institute of Technology,22,0,6,N
