School,District
Amherst College,8
Arizona State University,1
Bard College,8
Baylor University,3
Binghamton University,8
Boston College,8
"California State University, Fullerton",1
"University of California, Berkeley",1
University of Central Oklahoma,3
Columbia University,8
Cornell University,8
"California State University, Northridge",1
"California State University, Long Beach",1
Dartmouth College,8
Emory University,6
Emporia State University,6
Fordham University,8
George Mason University,7
Georgetown University,7
University of Georgia,6
Georgia State University,6
Gonzaga University,2
Grinnell College,4
Harvard University,8
University of Houston,3
Indiana University,5
University of Iowa,4
James Madison University,7
Johnson County Community College,3
University of Kansas,3
Kansas State University,3
University of Kentucky,6
Liberty University,7
Macalaster College,4
University of Mary Washington,7
"University of Massachusetts, Amherst",8
University of Miami,6
University of Michigan,5
Michigan State University,5
University of Minnesota,4
Missouri State University,3
Missouri Valley College,3
Monmouth University,7
United States Naval Academy,7
"University of Nebraska, Lincoln",4
The New School,8
University of North Texas,3
University of Northern Iowa,4
Northwestern University,5
New York University,8
Oakton Community College,5
University of Oklahoma,3
University of Pennsylvania,7
Pennsylvania State University,7
University of Pittsburgh,7
Purdue University,5
University of Rochester,8
"Rutgers University, Newark",7
Samford University,6
University of Southern California,1
Southern Nazarene University,3
Southwestern College,1
Saint Mary's College,1
Suffolk University,8
University of Texas,3
Texas Tech University,3
Towson University,8
Trinity University,3
Tufts University,8
United States Military Academy,8
"University of Texas, San Antonio",3
"University of Texas, Dallas",3
University of Vermont,8
University of Virginia,7
Wake Forest University,6
University of Washington,2
Wayne State University,5
Weber State University,2
University of West Georgia,6
West Virginia University,7
Western Kentucky University,6
Western Washington University,2
Wichita State University,3
University of Wyoming,2
