Display_School,2021,2022,2023,2024
Arizona State University,1,1,1,1
Bard College,0,0,0,0
Baylor University,1,1,1,1
Binghamton University,1,1,1,1
Boston College,1,1,1,1
"California State University, Fullerton",1,1,1,1
"University of California, Berkeley",1,1,1,1
University of Central Oklahoma,1,1,1,1
Columbia University,0,0,0,0
Cornell University,1,1,1,1
"California State University, Northridge",0,0,0,0
"California State University, Long Beach",1,1,1,1
Dartmouth College,1,1,1,1
Emory University,1,1,1,1
Emporia State University,1,1,0,0
Fordham University,0,0,0,0
George Mason University,1,1,1,1
Georgetown University,1,1,1,1
University of Georgia,1,1,1,1
Georgia State University,0,0,0,0
Gonzaga University,1,1,1,1
Harvard University,1,1,1,1
University of Houston,1,1,0,0
Indiana University,1,1,1,1
University of Iowa,1,1,1,1
James Madison University,1,1,1,1
Johnson County Community College,1,0,1,1
University of Kansas,1,1,1,1
Kansas State University,1,1,1,1
University of Kentucky,1,1,1,1
Liberty University,1,1,1,1
Macalester College,0,1,1,1
University of Mary Washington,1,1,0,0
"University of Massachusetts, Amherst",1,1,1,1
University of Miami,1,0,0,0
University of Michigan,1,1,1,1
Michigan State University,1,1,1,1
University of Minnesota,1,1,1,1
Missouri State University,1,1,1,1
Missouri Valley College,0,0,0,0
Monmouth University,0,0,0,0
United States Naval Academy,1,1,1,1
"University of Nebraska, Lincoln",1,1,1,1
The New School,1,1,1,1
University of North Texas,0,0,1,1
University of Northern Iowa,0,0,0,0
Northwestern University,1,1,1,1
New York University,1,1,1,1
Oakton Community College,0,0,0,0
University of Oklahoma,0,1,1,1
University of Pennsylvania,0,0,1,1
Pennsylvania State University,0,0,0,0
University of Pittsburgh,1,1,0,0
Purdue University,1,1,1,1
University of Rochester,1,0,1,1
"Rutgers University, Newark",1,0,0,0
Samford University,1,1,1,1
University of Southern California,1,1,1,1
Southern Nazarene University,0,0,1,1
Southwestern College,0,0,0,0
Saint Mary's College,0,0,0,0
Suffolk University,0,0,0,0
University of Texas,1,1,1,1
Texas Tech University,0,0,0,0
"Texas A&M University",0,0,0,0
Towson University,0,1,1,1
Trinity University,1,1,1,1
Tufts University,1,1,1,1
United States Military Academy,0,1,1,1
"University of Texas, San Antonio",1,0,0,0
"University of Texas, Dallas",1,1,0,0
University of Vermont,0,0,0,0
University of Virginia,0,0,0,0
Wake Forest University,1,1,1,1
University of Washington,0,0,0,0
Wayne State University,1,1,1,1
Weber State University,1,1,1,1
University of West Georgia,1,1,1,1
West Virginia University,0,0,0,0
Western Kentucky University,0,0,0,0
Western Washington University,1,1,1,1
Wichita State University,1,1,1,1
University of Wyoming,1,1,1,1
Grinnell College,1,0,0,0
Amherst College,1,0,0,0
"University of California, Davis",0,0,0,0
"University of Missouri-Kansas City",0,0,0,0
University of Louisville,0,0,0,0
Stanford University,0,0,0,0
Schreiner University,0,0,0,0
Fairmont State University,0,0,0,0
Georgia Institute of Technology,0,0,0,0
Kansas City Kansas Community College,0,0,0,0
Marian University,0,0,0,0
