School,NDT pts,Varsity pts,District,CC
Baylor University,124,109,3,N
Binghamton University,309,166,8,N
"California State University, Long Beach",150,141,1,N
University of Central Oklahoma,107,107,3,N
Dartmouth College,253,240,8,N
Emory University,392,279,6,N
Emporia State University,133,133,6,N
George Mason University,528,85,7,N
Georgetown University,192,192,7,N
University of Georgia,76,22,6,N
Harvard University,162,162,8,N
University of Houston,487,137,3,N
Indiana University,318,103,5,N
University of Iowa,95,83,4,N
University of Kansas,335,250,3,N
University of Kentucky,156,145,6,N
University of Mary Washington,159,63,7,N
"University of Massachusetts, Amherst",88,88,8,N
University of Michigan,363,291,5,N
Michigan State University,293,168,5,N
University of Minnesota,260,198,4,N
Missouri State University,187,147,3,N
New York University,336,106,8,N
Northwestern University,225,179,5,N
Oakton Community College,9,9,5,Y
University of Pennsylvania,58,58,7,N
University of Pittsburgh,51,51,7,N
Samford University,353,124,6,N
University of Southern California,118,118,1,N
University of Texas,172,161,3,N
Trinity University,105,44,3,N
"University of Texas, Dallas",186,162,3,N
Wake Forest University,390,350,6,N
Wayne State University,164,93,5,N
University of West Georgia,123,101,6,N
Western Washington University,62,42,2,N
Wichita State University,191,191,3,N
University of Wyoming,161,137,2,N
Liberty University,700,123,7,N
Weber State University,38,8,2,N
Cornell University,89,65,8,N
The New School,162,88,8,N
University of Rochester,48,32,8,N
United States Military Academy,88,73,8,N
West Virginia University,76,40,7,N
Gonzaga University,87,43,2,N
James Madison University,319,84,7,N
Kansas State University,72,32,3,N
University of Oklahoma,117,64,3,N
Tufts University,23,23,8,N
Pennsylvania State University,62,0,7,N
Southwestern College,68,0,1,Y
"University of Texas, San Antonio",34,0,3,N
Boston College,146,45,8,N
"University of California, Berkeley",31,31,1,N
United States Naval Academy,200,8,7,N
Texas Tech University,9,0,3,N
Purdue University,31,0,5,N
"California State University, Fullerton",59,50,1,N
Arizona State University,29,20,1,N
"California State University, Northridge",32,32,1,N
University of Washington,11,11,2,N
Monmouth University,147,0,7,N
Suffolk University,8,0,8,N
Southern Nazarene University,33,0,3,N
Macalaster College,41,41,4,N
