Aff,Neg,Judges,Votes,Win
Liberty IR,West Virginia LC,"Rob Glass																																						Al Hiland																																						Zhane Lloyd","Aff																															Aff																															Aff","3-0																															AFF"
George Mason AY,Liberty BT,"Cecilia Cerja																																						Ben Dewhurst																																						Heather Walters","Neg																															Neg																															Aff","2-1																															NEG"
Jay Fuchs,Houston RH,"Natalie Bennie																																						Samantha Godbey																																						Brian DeLong","Neg																															Neg																															Neg","3-0																															NEG"
Houston GN,,,,
Monmouth CL,,,,
James Madison HW,,,,
George Mason BB,,,,
Navy FP,,,,
Indiana KF,,,,
Liberty HM,,,,
Miami/New School CK,,,,
Samford JM,,,,
Emory WX,,,,
Houston LI,,,,
George Mason ET,,,,
Indiana VI,,,,
