Aff,Neg,Judges,Votes,Win
Minnesota PR,Maeve Ella,"Gabriel Morbeck																																						Tyler Thur																																						Scott Harris","Aff																															Aff																															Aff","3-0																															AFF"
Michigan State GK,Emory NP,"Brent Lamb																																						Brandon Stras																																						Katie Wimsatt","Aff																															Aff																															Aff","3-0																															AFF"
Tony Miklovis,Minnesota JS,"Adam Lee																																						Tom O'Gorman																																						Jason Regnier","Aff																															Neg																															Aff","2-1																															AFF"
Liberty SW,UC Berkeley EE,"Jeff Buntin																																						Abby Schirmer																																						John Turner","Neg																															Neg																															Neg","3-0																															NEG"
Emory PR,Nick Loew,"Genevieve Hackman																																						Ian Dill																																						Parker Hopkins","Neg																															Aff																															Neg","2-1																															NEG"
Missouri State LR,UPenn/Northeastern ER,"Brett Bricker																																						Ian Lowery																																						Dustin Meyers-Levy","Aff																															Aff																															Aff","3-0																															AFF"
Liberty RW,Samford ET,"Lauren Pepper																																						Kurt Fifelski																																						Erik Mathis","Aff																															Neg																															Neg","2-1																															NEG"
Columbia/WashU DA,Kansas WH,"Matthew Granstrom																																						Brad Meloche																																						Eric Morris","Neg																															Neg																															Aff","2-1																															NEG"
Kentucky KW,Kansas RO,"Ian Morris																																						Flynn Makuch																																						Kevin McCaffrey","Neg																															Neg																															Neg","3-0																															NEG"
Spencer Anderson McElligott,Minnesota AF,,Spencer Anderson McElligott advances,Spencer Anderson McElligott advances
Liberty CR,,,,
Northwestern DF,,,,
Michigan MM,,,,
Kansas SS,,,,
Michigan PS,,,,
Georgetown WL,,,,
