Aff,Neg,Judges,Votes,Win
Jared Adam,Tony Miklovis,"Jeff Buntin																																						Nathan Fleming																																						Brandon Stras","Neg																															Aff																															Neg","2-1																															NEG"
Michigan PS,Emory PR,"Sherry Hall																																						Anthony Trufanov																																						Josiah Ferguson","Neg																															Aff																															Aff","2-1																															AFF"
Northeastern/Pennslyvania RE,Emory MS,"Casey Harrigan																																						Valerie McIntosh																																						Ezra Louvis","Aff																															Aff																															Aff","3-0																															AFF"
Minnesota PR,Harvard/Amherst GM,"Gabriel Morbeck																																						William Repko																																						Anthony Ogbuli","Aff																															Aff																															Aff","3-0																															AFF"
Northwestern DF,,,Aff BYE,Aff BYE
Trinity NM,,,Aff BYE,Aff BYE
Northwestern LW,,,Aff BYE,Aff BYE
Michigan State GK,,,Aff BYE,Aff BYE
Michigan HM,,,Aff BYE,Aff BYE
UC Berkeley EE,,,Aff BYE,Aff BYE
Wake Forest BT,,,Aff BYE,Aff BYE
Michigan MM,,,Aff BYE,Aff BYE
Georgetown GL,,,Aff BYE,Aff BYE
Southern California KS,,,Aff BYE,Aff BYE
Dartmouth BC,,,Aff BYE,Aff BYE
David Griffith,,,Aff BYE,Aff BYE
