Aff,Neg,Judges,Votes,Win
Dartmouth BC,George Mason BG,"Corey Fisher																																						Spencer Roetlin																																						Sean Kennedy","Neg																															Aff																															Neg","2-1																															NEG"
Harvard BH,Michigan HM,"Matthew Granstrom																																						Richard Garner																																						Matt Stannard","Aff																															Aff																															Aff","3-0																															AFF"
Kansas SP,Michigan PR,"Viveth Karthikeyan																																						Marge Strong																																						Brandon Kelley","Neg																															Aff																															Neg","2-1																															NEG"
David Griffith,Cal State Fullerton CW ONLINE,"David Kilpatrick																																						Cody Crunkilton																																						Rob Glass","Aff																															Aff																															Aff","3-0																															AFF"
Minnesota PR,Michigan PS,"Brian Klarman																																						Allison Harper																																						Jeff Buntin","Aff																															Neg																															Neg","2-1																															NEG"
Texas DK,Georgetown AG,"Patrick Lee																																						David Asafu-Adjaye																																						Julia Henry","Neg																															Aff																															Aff","2-1																															AFF"
Harvard OY,Emory PaRa,"Matt Liu																																						Azja Butler																																						Andrew Allsup","Neg																															Neg																															Neg","3-0																															NEG"
Kansas MS,Liberty CR ONLINE,"Mikaela Malsin																																						A J																																						James Allan","Neg																															Neg																															Aff","2-1																															NEG"
Jared Adam,Northwestern DF,"Benjamin Morbeck																																						Valerie McIntosh																																						Brandon Stras","Neg																															Neg																															Neg","3-0																															NEG"
UC Berkeley EE,Iowa CN ONLINE,"Ian Morris																																						David Cram Helwich																																						Alaina Walberg","Aff																															Aff																															Neg","2-1																															AFF"
Michigan State BG ONLINE,Emory HM,"Dallas Perkins																																						Eric Morris																																						Teja Leburu","Aff																															Neg																															Aff","2-1																															AFF"
Kansas BS,Harvard AF,"Jackie Poapst																																						Jefferey Yan																																						Taylor Brough","Neg																															Neg																															Neg","3-0																															NEG"
Gonzaga MR ONLINE,Southern California KS,"Caitlin Walrath																																						Kevin Hirn																																						Scott Harris","Neg																															Neg																															Neg","3-0																															NEG"
Dartmouth SV,Southern California NH,"Zahir Shaikh																																						Rebecca Steiner																																						Kristiana Baez","Aff																															Aff																															Aff","3-0																															AFF"
Kansas PR,Emory GK,"Maggie Solice																																						Ruby Klein																																						Katie Wimsatt","Neg																															Neg																															Neg","3-0																															NEG"
Michigan MM,Emory MS,"Tyler Thur																																						Alex Marban																																						Brett Bricker","Aff																															Neg																															Aff","2-1																															AFF"
