Aff,Neg,Judges,Votes,Win
Emory Piekut & Roytburg,Michigan Pierry & Rabbini,"Scott Phillips																																						Habiba Ahmed																																						Ian Dill","Neg																															Neg																															Neg","3-0																															NEG"
Dartmouth Shankar & Vergho,Michigan margolin & Muse,"Shannon Howley																																						Ian Lowery																																						William Jensen","Aff																															Aff																															Aff","3-0																															AFF"
Harvard Aoki & Farronay,Iowa/Grinnell Bennett & Chen,"Matt Liu																																						Jackie Poapst																																						Flynn Makuch","Aff																															Aff																															Aff","3-0																															AFF"
Trinity Nelson & Moore,Northwestern Deo & Fridman,"David Cram Helwich																																						Johnnie Stupek																																						Ned Gidley","Neg																															Neg																															Neg","3-0																															NEG"
Georgetown Wang & White,Michigan Phil & Skoulikaris,"John Turner																																						Brett Bricker																																						Jeff Buntin","Neg																															Aff																															Neg","2-1																															NEG"
Southern California Kuffour & Sun,Texas/Wayne State Lugo & Reza Husain,"Nate Nys																																						Jyleesa Hampton																																						Vida Chiri","Aff																															Aff																															Aff","3-0																															AFF"
Georgetown Greer & Lawless,Wake Forest Bittner & Robinson,"Devane Murphy																																						Gabriel Jankovsky																																						Azja Butler","Neg																															Neg																															Neg","3-0																															NEG"
Wake Forest Bathily & Trotman,UC Berkeley Eusterman & Eusterman,"David Kilpatrick																																						Matt Gerber																																						Scott Harris","Aff																															Aff																															Neg","2-1																															AFF"
Wake Forest Bathily & Puerto,Kansas Scott & McMahon,"Thomas Buttgereit																																						Brian Rubaie																																						Timothy Byram","Neg																															Neg																															Neg","3-0																															NEG"
Harvard Barton & Habermann,Dartmouth Bald & Chang-Deutsch,"Allison Harper																																						Rebecca Steiner																																						Brian DeLong","Neg																															Aff																															Aff","2-1																															AFF"
Tony Miklovis,Wake Forest Smith & Taylor,"Will Baker																																						Clayton Engelby																																						Nate Martin","Aff																															Neg																															Aff","2-1																															AFF"
David Griffith,Wake Forest Davidson & Torguson,"Geoff Lundeen																																						Michelle Thomas																																						Jacob Goldschlag","Neg																															Neg																															Aff","2-1																															NEG"
Texas Desai & Kashyap,Kansas Semrick & Park,"Brian Klarman																																						Amber Kelsie																																						Kevin Hirn","Aff																															Aff																															Aff","3-0																															AFF"
Liberty Cazeau & Robinson,Samford Emerson & Tarnowski,"Martin Osborn																																						Caitlin Walrath																																						Anthony Ogbuli","Aff																															Aff																															Neg","2-1																															AFF"
George Mason Buckner & Graham,Emory Pak & Rajagopal,"Nick Lepp																																						James Allan																																						Derek Hilligoss","Aff																															Aff																															Aff","3-0																															AFF"
Missouri State Lucas & Reeves,Michigan Harrington & McGraw,"Shree Awsare																																						Nathan Rothenbaum																																						Rob Glass","Neg																															Neg																															Neg","3-0																															NEG"
