Aff,Neg,Judges,Votes,Win
Dartmouth SV,Wake Forest ST,"Darcell Brown																																						Chris Loghry																																						Matthew Moore																																						Kevin Clarke																																						Phillip Samuels","Neg																															Aff																															Neg																															Aff																															Aff","3-2																															AFF"
Cal State Fullerton MR,Southern California AK,"Kenny Delph																																						Ignacio Evans																																						Amber Kelsie																																						Brianna Thomas																																						George Lee","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Wake Forest DL,Michigan MM,"Clayton Engelby																																						Flynn Makuch																																						Kristiana Baez																																						Jasmine Stidham																																						Shae Bunas","Neg																															Neg																															Neg																															Neg																															Aff","4-1																															NEG"
Emory GK,Tony Miklovis,"Matthew Granstrom																																						Jonah Jacobs																																						Brandon Stras																																						Dallas Perkins																																						Katie Wimsatt","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Harvard BH,Nick Loew,"Casey Harrigan																																						Amar Adam																																						Lee Quinn																																						Stephen Pipkin																																						Christopher Callahan","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Harvard OY,UC Berkeley EE,"Julia Henry																																						Alaina Walberg																																						Derek Hilligoss																																						Jamie Davenport																																						Brendon Bankey","Neg																															Neg																															Neg																															Neg																															Aff","4-1																															NEG"
Purdue SJ,Michigan PR,"Dillon Johnson																																						Young Kwon																																						Tripp Rebrovick																																						John Turner																																						David Bernstein","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Wake Forest DT,Dartmouth BC,"Shuntà Jordan																																						Nick Lepp																																						Brian Rubaie																																						Corey Fisher																																						Allie Chase","Neg																															Neg																															Neg																															Aff																															Neg","4-1																															NEG"
Kansas SM,Liberty RW,"Mikaela Malsin																																						Marge Strong																																						Nathan Fleming																																						Gabriel Jankovsky																																						Ian Dill","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Kansas BS,Michigan HS,"Brad Meloche																																						Viveth Karthikeyan																																						Jeff Buntin																																						Johnnie Stupek																																						Eric Morris","Aff																															Neg																															Neg																															Aff																															Aff","3-2																															AFF"
Wake Forest BT,Texas DK,"Emily Mendelson																																						Thomas Buttgereit																																						Jefferey Yan																																						Sam Gustavson																																						David Asafu-Adjaye","Aff																															Aff																															Neg																															Aff																															Neg","3-2																															AFF"
George Mason BG,Trinity NM,"Martin Osborn																																						Caitlin Walrath																																						Josh Lamet																																						Nathan Davis																																						Raam Tambe","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Johnson County BB,Michigan PS,"Jacinda Rivas																																						Josiah Ferguson																																						Brett Bricker																																						Spencer Roetlin																																						Michael Klinger","Neg																															Aff																															Neg																															Neg																															Neg","4-1																															NEG"
Emory MS,Northwestern DF,"Tyler Thur																																						Alex Marban																																						Ned Gidley																																						Aaron Kall																																						Ezra Louvis","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Nikita Tanguturi,Liberty RC,"chaz wyche																																						Devane Murphy																																						Jyleesa Hampton																																						Nicolas Juarez																																						LaToya Green","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Cal State Fullerton CW,Michigan State GK,,Neg,"1-0																															NEG"
