Aff,Neg,Judges,Votes,Win
Dartmouth SV,Wyoming LP,"Jacinda Rivas - ONL																																						Dan Bannister																																						Jeff Buntin","Aff																															Aff																															Aff","3-0																															AFF"
Wake Forest RT,"Massachusetts, Amherst SM","Nicolas Juarez																																						Kristiana Baez																																						Rob Glass - ONL","Aff																															Aff																															Aff","3-0																															AFF"
Minnesota JP,Michigan PP,"Christopher Callahan																																						Carly Wunderlich																																						Theo Noparstak - ONL","Neg																															Neg																															Neg","3-0																															NEG"
Jay-Z Flores,Pennsylvania ER,"Becca Steiner																																						Sherry Hall																																						Geoff Lundeen - ONL","Aff																															Aff																															Aff","3-0																															AFF"
Dartmouth BC,Eli T. Louis,"Brian Klarman																																						Azja Butler																																						Sean Kennedy","Aff																															Neg																															Aff","2-1																															AFF"
Wake Forest BD,Georgetown KS,"John Turner																																						Kenji Aoki																																						Michelle Thomas","Neg																															Aff																															Aff","2-1																															AFF"
Michigan State GuMi,Emory GK,"Aaron Kall																																						Young Kwon																																						Patrick Waldinger","Neg																															Neg																															Neg","3-0																															NEG"
Georgetown LW,Macalester PW,"Shree Awsare																																						Ruby Klein																																						Greg Zoda - ONL","Aff																															Aff																															Aff","3-0																															AFF"
Wayne State MR,Southern California BS,"Kenny Delph																																						Caitlin Walrath																																						Will Baker","Neg																															Neg																															Aff","2-1																															NEG"
Iowa CE,Kentucky DG,"Deven Cooper																																						Flynn Makuch																																						Justin Green","Aff																															Neg																															Aff","2-1																															AFF"
Michigan MS,Georgetown GW,"Bryce Rao - ONL																																						Brett Bricker																																						Alex Marban","Aff																															Neg																															Aff","2-1																															AFF"
Wake Forest BM,Kentucky GK,"Zahir Shaikh																																						Johnnie Stupek																																						Kevin McCaffrey","Neg																															Aff																															Neg","2-1																															NEG"
Emory HL,Northwestern DW,"Tyler Thur																																						Lee Quinn																																						Katie Wimsatt","Aff																															Neg																															Neg","2-1																															NEG"
Michigan State GM,Kansas SP,"Kurt Fifelski																																						Brandon Stras																																						Viveth Karthikeyan - ONL","Neg																															Aff																															Neg","2-1																															NEG"
Harvard FD,Harvard GO,,Harvard FD advances,Harvard FD advances
Emory MP,Emory CR,,Emory MP advances,Emory MP advances
