Aff,Neg,Judges,Votes,Win
Jay-Z Flores,Wyoming LP,"Kenji Aoki																																						John Turner																																						Justin Green","Neg																															Aff																															Aff","2-1																															AFF"
Wake Forest RT,Spencer Anderson McElligott,"Azja Butler																																						Ashe Tippins																																						LaToya Green","Aff																															Aff																															Aff","3-0																															AFF"
Northwestern DW,Michigan HR,"Matt Coleman																																						Scott Phillips																																						Joe Skoog","Neg																															Neg																															Neg","3-0																															NEG"
Iowa CE,Kentucky DG - ONLINE,"Deven Cooper																																						Corey Fisher																																						Tim Freehan","Aff																															Aff																															Aff","3-0																															AFF"
Pennsylvania ER - ONLINE,Wake Forest BD,"Shuntà Jordan																																						Alaina Walberg																																						Scott Harris","Neg																															Neg																															Neg","3-0																															NEG"
Georgetown LW,Kansas SP,"Viveth Karthikeyan																																						Young Kwon																																						Gabriel Jankovsky","Aff																															Aff																															Aff","3-0																															AFF"
Kansas BS,Michigan State GM,"Ruby Klein																																						Nathan Fleming																																						Becca Steiner","Neg																															Aff																															Aff","2-1																															AFF"
Emory BP,"Massachusetts, Amherst BM","Matt Liu																																						Dillon Johnson																																						Kevin Hirn","Neg																															Aff																															Neg","2-1																															NEG"
Texas DK - ONLINE,Kansas PM,"Valerie McIntosh																																						Ian Dill																																						Zahir Shaikh","Aff																															Aff																															Aff","3-0																															AFF"
Harvard DF,Emory CR,"Jeff Nagel																																						Alex McVey																																						Julian Kuffour","Aff																															Aff																															Aff","3-0																															AFF"
Emory MP,Kentucky GK - ONLINE,"Dallas Perkins																																						Brandon Kelley																																						Brett Bricker","Aff																															Neg																															Aff","2-1																															AFF"
Dartmouth DS,Baylor HL - ONLINE,"Spencer Roetlin																																						Dustin Meyers-Levy																																						Geoff Lundeen","Aff																															Aff																															Aff","3-0																															AFF"
Kentucky WM - ONLINE,Harvard DY,"David Rooney																																						Alden Conner																																						Natalie Yehezkel","Neg																															Neg																															Neg","3-0																															NEG"
Minnesota PP - ONLINE,Michigan PP,"Tyler Thur																																						Joe Weideman																																						Lee Quinn","Neg																															Neg																															Neg","3-0																															NEG"
Michigan MS,Kansas MS,"Anthony Trufanov																																						Mikaela Malsin																																						Kevin McCaffrey","Neg																															Neg																															Aff","2-1																															NEG"
Emory GK,Emory HL,"Spencer Roetlin																																						Dustin Meyers-Levy																																						Geoff Lundeen","Aff																															Aff																															Aff","3-0																															AFF"
