Aff,Neg,Judges,Votes,Win
Kentucky Dal Pra & Stockstill,Wichita State Babcock & Babcock,"Max Reese																																						Rob Glass - ONL																																						Ryan Galloway","Neg																															Neg																															Neg","3-0																															NEG"
Kentucky Griffith & Kiihnl,Benjy Haber-Fawcett,"Dillon Johnson																																						Lee Quinn																																						Clayton Engelby","Aff																															Aff																															Aff","3-0																															AFF"
Houston Khan & Yadagiri,Wichita State Phillips & Smith,"Devane Murphy																																						Hannah Call - ONL																																						Brad Meloche","Neg																															Neg																															Neg","3-0																															NEG"
Samford Blackwell & Riggs,Michigan Shih & Ippagunta,"Nate Graziano																																						Derek Hilligoss																																						Jeff Nagel","Neg																															Neg																															Neg","3-0																															NEG"
Missouri State Wilkinson & Shew,Kentucky Adam & Weinhardt,"Matt Liu																																						Scott Harris																																						Vikram Kohli","Neg																															Neg																															Neg","3-0																															NEG"
Navya Simha,Kansas Marshall & Park,"Eric Morris																																						Brent Lamb																																						Lauren Johnson","Neg																															Neg																															Neg","3-0																															NEG"
Kentucky Di & Gabay,Emporia State Reed-Valizan & Sims,"Jason Regnier																																						Sammi Rippetoe																																						Jackie Poapst","Aff																															Aff																															Aff","3-0																															AFF"
Missouri State Lucas & Cade,Kansas Harris & Soper,"Chris Loghry																																						Joe Weideman - ONL																																						Sawyer Emerson","Neg																															Neg																															Neg","3-0																															NEG"
Baylor Darwish & Hudson,Samford Gill & Tarnowski,"Douglas Husic																																						Andrew Allsup																																						Josh Lamet - ONL","Aff																															Aff																															Aff","3-0																															AFF"
Kansas Yang & Wilkus,Wake Forest Bressler & Mojica,"Josiah Ferguson - ONL																																						Bruce Najor																																						Maggie Berthiaume","Aff																															Aff																															Neg","2-1																															AFF"
Northwestern Chuang & Pacconi,Michigan State Bennett & Koster,"Dominik Lett																																						Matthew Granstrom - ONL																																						Kurt Fifelski","Neg																															Neg																															Aff","2-1																															NEG"
Minnesota Johnson & Phoenix-Flood,Wyoming Mitchell & Swidecki,"Michael Wimsatt - ONL																																						Tim Freehan																																						Lindsey Shook","Aff																															Aff																															Aff","3-0																															AFF"
Kentucky McBlain & Williams,Northwestern Stamenkovic Diez & Subingsubing,"David Rooney																																						Roberto Fernandez																																						Kaine Cherry","Neg																															Aff																															Aff","2-1																															AFF"
Wyoming Lassen & Powers,Kansas Barreto & Spiers,"James Allan - ONL																																						Valerie McIntosh																																						William Repko","Aff																															Aff																															Aff","3-0																															AFF"
Wake Forest Luckett & Taylor,,,,
Michigan McDermott & Skoulikaris,,,,
