Aff,Neg,Judges,Votes,Win
Michigan PP,Emory KL,"William Repko																																						Heather Hall																																						Michael Harrington","Aff																															Aff																															Aff","3-0																															AFF"
Wake Forest BD,Nick Loew,"Lee Quinn																																						David Rooney																																						Shree Awsare","Aff																															Aff																															Aff","3-0																															AFF"
Dartmouth SV,Emory BP,"Morgan Copeland																																						Dallas Perkins																																						Aaron Kall","Aff																															Aff																															Aff","3-0																															AFF"
Samford GT,Wake Forest BR,"Rachel Solsman																																						Flynn Makuch																																						Alex VanDyke","Neg																															Neg																															Neg","3-0																															NEG"
Georgetown GW,Texas DK,"Noah Graham																																						Manny Navarrete																																						Anthony Trufanov","Neg																															Neg																															Neg","3-0																															NEG"
Emory DP,Dartmouth BC,"Kenny Delph																																						Carly Wunderlich																																						Brandon Stras","Neg																															Neg																															Neg","3-0																															NEG"
Emory HM,Houston FC,"Kaine Cherry																																						John Nagy																																						Chris Langone","Neg																															Aff																															Neg","2-1																															NEG"
Georgetown LW,Baylor HL,"Kattichka Cazeau																																						Nyx Moore																																						Michael Wimsatt","Aff																															Neg																															Aff","2-1																															AFF"
Michigan State GlMe,Minnesota JP,"Brian Klarman																																						Erik Mathis																																						DavidMichael Woodward","Aff																															Aff																															Aff","3-0																															AFF"
Kentucky DG,"Massachusetts, Amherst BM","John Turner																																						Rob Glass																																						Dustin Meyers-Levy","Neg																															Neg																															Neg","3-0																															NEG"
Wichita State HP,Northwestern DW,"Gabriel Morbeck																																						Max Groznik																																						Maria DeMarco","Neg																															Neg																															Neg","3-0																															NEG"
Wichita State BB,Kansas PS,"Taylor Brough																																						squid monteith																																						Jalisa Jackson","Neg																															Aff																															Neg","2-1																															NEG"
Wake Forest LT,Eli T. Louis,"Alden Conner																																						Bee Smale																																						Taylor Johnson","Aff																															Neg																															Neg","2-1																															NEG"
Wyoming LP,Kansas HS,"Brandon Reynolds																																						Sherry Hall																																						Maddox Gates","Aff																															Neg																															Neg","2-1																															NEG"
Georgetown ZZ,Michigan HR,"Eliza Buckner																																						Chaz Wyche																																						E. Cook","Neg																															Neg																															Aff","2-1																															NEG"
Emory GK,Emory CR,,Emory GK advances,Emory GK advances
