Aff,Neg,Judges,Votes,Win
Texas DK,Wake Forest BS,"James Allan																																						Sean Kennedy																																						Andrew Allsup","Neg																															Aff																															Neg","2-1																															NEG"
Georgetown LW,Pittsburgh RS,"Kenji Aoki																																						Eliza Buckner																																						Julian Kuffour","Neg																															Neg																															Aff","2-1																															NEG"
Michigan HR,Wichita State BB - ONLINE,"Brendon Bankey																																						Chris Loghry																																						Nathan Rothenbaum","Aff																															Aff																															Aff","3-0																															AFF"
Kentucky AW,Harvard OY,"Deven Cooper																																						Richard Garner																																						Sydney Pasquinelli","Neg																															Neg																															Neg","3-0																															NEG"
Maeve Ella,Kansas SM,"Corey Fisher																																						Thomas Buttgereit																																						Reed Van Schenck","Aff																															Neg																															Neg","2-1																															NEG"
Kansas PM,Michigan MM,"Rob Glass																																						Shree Awsare																																						Kevin McCaffrey","Neg																															Neg																															Neg","3-0																															NEG"
Emory DP,Dartmouth BC,"Kevin Hirn																																						Dustin Meyers-Levy																																						Nina Fridman","Neg																															Neg																															Neg","3-0																															NEG"
Emory BP,Wake Forest BD,"Shuntà Jordan																																						Ian Lowery																																						Nick Ryan","Neg																															Neg																															Neg","3-0																															NEG"
Kentucky KG,Emory HM,"Gabe Lewis																																						Brandon Stras																																						Brett Bricker","Aff																															Neg																															Neg","2-1																															NEG"
Northwestern DW,West Georgia CL - ONLINE,"Hunter McCullough																																						Devane Murphy																																						David Rooney","Aff																															Aff																															Aff","3-0																															AFF"
"Massachusetts, Amherst BM",Michigan State GlMe,"Tyler Snelling																																						Gabriel Morbeck																																						Bryce Rao","Aff																															Neg																															Neg","2-1																															NEG"
Emory GK,Dartmouth CV,"Theo Noparstak																																						Ruby Klein																																						Dallas Perkins","Aff																															Aff																															Aff","3-0																															AFF"
Michigan PP,Emory CR,"Young Kwon																																						Elizabeth Bennett																																						Matthew Granstrom","Neg																															Aff																															Aff","2-1																															AFF"
Kansas SP,Dartmouth SV,"Zahir Shaikh																																						Viveth Karthikeyan																																						Nathan Fleming","Neg																															Neg																															Neg","3-0																															NEG"
Michigan HS,Harvard BH - ONLINE,"Johnnie Stupek																																						David Cram Helwich																																						Joe Weideman","Neg																															Neg																															Aff","2-1																															NEG"
Tony Miklovis,Wake Forest RT,"Allegro Wang																																						Matt Liu																																						Jesse Smith","Neg																															Neg																															Neg","3-0																															NEG"
