Aff,Neg,Judges,Votes,Win
Wake Forest Luckett & Taylor,Macalester Williams & Price,"Sean Kennedy																																						Jyleesa Hampton																																						James Allan","Aff																															Aff																															Aff","3-0																															AFF"
Michigan State Gusis & Miklovis - ONL,Dartmouth Shankar & Vergho,"Jeff Buntin																																						Joe Weideman																																						Nathan Rice","Neg																															Aff																															Neg","2-1																															NEG"
Emory Giampetruzzi & Kessler,Kansas Marshall & Park,"Young Kwon																																						Scott Phillips																																						Valerie McIntosh","Aff																															Aff																															Aff","3-0																															AFF"
Wake Forest Bittner & Davidson,Northwestern Stamenkovic Diez & Subingsubing,"Deven Cooper																																						Devane Murphy																																						Kaine Cherry","Aff																															Aff																															Aff","3-0																															AFF"
Kansas Harris & Soper,Michigan Phil & Pierry,"Tyler Thur																																						Ian Dill																																						Maggie Berthiaume","Neg																															Neg																															Neg","3-0																															NEG"
Texas Desai & Kashyap,Emory Conry & Rupp,"Alex Marban																																						Jasmine Stidham																																						Kevin Hirn","Aff																															Aff																															Aff","3-0																															AFF"
Dartmouth Bald & Chang-Deutsch,Harvard Dixon & Yeshitila,"Scott Harris																																						Sam Gustavson																																						Will Baker","Aff																															Neg																															Neg","2-1																															NEG"
Kentucky Griffith & Kiihnl,Kansas Park & Semrick,"Mikaela Malsin																																						Johnnie Stupek																																						Brandon Kelley","Aff																															Aff																															Neg","2-1																															AFF"
Michigan State Bennett & Koster - ONL,Michigan Harrington & Rabbini,"Adam Symonds																																						Jackie Poapst																																						Nick Ryan","Neg																															Aff																															Neg","2-1																															NEG"
Wake Forest Bathily & Smith,Emory Mitchell & Piekut,"Nathan Davis																																						Richard Garner																																						Kevin Clarke","Neg																															Neg																															Neg","3-0																															NEG"
"Massachusetts, Amherst Berhe & Mukherjee",Georgetown Cowan & Sayers,"Allegro Wang																																						Brian Klarman																																						Beau Larsen","Aff																															Aff																															Neg","2-1																															AFF"
Iowa Cavanaugh & Ella,Southern California Sun & Bhadani,"Matt Liu																																						Corey Fisher																																						Alaina Walberg","Aff																															Neg																															Neg","2-1																															NEG"
Jay-Z Flores,Michigan McDermott & Skoulikaris,"Shree Awsare																																						David Kilpatrick																																						Becca Steiner","Neg																															Aff																															Aff","2-1																															AFF"
Georgetown Greer & White,Northwestern Deo & Wegener,"Viveth Karthikeyan																																						Matthew Granstrom																																						Dustin Meyers-Levy","Aff																															Aff																															Neg","2-1																															AFF"
Eli T. Louis,Georgetown Lawless & Wang,"Michael Harrington																																						Julian Kuffour																																						Kurt Fifelski","Aff																															Aff																															Neg","2-1																															AFF"
Wake Forest Robinson & Trotman,Wake Forest Bressler & Mojica,,Wake Forest Robinson & Trotman advances,Wake Forest Robinson & Trotman advances
