Aff,Neg,Judges,Votes,Win
Michigan HR,Emory MP,"Brendon Bankey																																						Elizabeth Bennett																																						Brian Manuel","Neg																															Neg																															Aff","2-1																															NEG"
Emory PW,Michigan PP,"Jack Booth																																						Nathan Rothenbaum																																						Geoff Lundeen","Neg																															Neg																															Neg","3-0																															NEG"
Emory CR,Eli T. Louis,"Kevin Clarke																																						Kurt Fifelski																																						Nate Graziano","Aff																															Aff																															Neg","2-1																															AFF"
Pittsburgh RS,Emory HL,"William Coltzer																																						Kenji Aoki																																						Devane Murphy","Aff																															Aff																															Aff","3-0																															AFF"
West Georgia FK,Wake Forest RT,"Alden Conner																																						Natalie Yehezkel																																						Nicolas Juarez","Neg																															Neg																															Neg","3-0																															NEG"
Texas DK,Iowa CE,"Deven Cooper																																						Taylor Brough																																						Azja Butler","Neg																															Aff																															Neg","2-1																															NEG"
Emory GK,Texas AB,"Ian Dill																																						Eric Morris																																						Darcell Brown","Aff																															Aff																															Aff","3-0																															AFF"
Kentucky GD,Dartmouth SV - ONLINE,"Kevin Hirn																																						Brandon Stras																																						Brandon Kelley","Neg																															Neg																															Neg","3-0																															NEG"
Michigan MS,Wake Forest BD,"David Kilpatrick																																						Jesse Smith																																						Cecilia Cerja","Neg																															Neg																															Neg","3-0																															NEG"
Kansas SP,Georgetown LW,"Ruby Klein																																						Jeff Buntin																																						Zahir Shaikh","Neg																															Neg																															Neg","3-0																															NEG"
Michigan State GlMe - ONLINE,Northwestern DW,"Young Kwon																																						Aaron Kall																																						Johnnie Stupek","Neg																															Neg																															Neg","3-0																															NEG"
Dartmouth BC - ONLINE,Southern California BS,"Dustin Meyers-Levy																																						Gabriel Jankovsky																																						Brian Klarman","Neg																															Neg																															Neg","3-0																															NEG"
GMU LR,Jay-Z Flores,"Tripp Rebrovick																																						Derek Hilligoss																																						Brian DeLong","Neg																															Neg																															Neg","3-0																															NEG"
Kentucky GK,Harvard DY,"Lindsey Shook																																						James Allan																																						Julian Kuffour","Neg																															Aff																															Neg","2-1																															NEG"
Wyoming LP,Georgetown GW,"Anthony Trufanov																																						Nina Fridman																																						Brett Bricker","Neg																															Neg																															Neg","3-0																															NEG"
Harvard DF,Kansas MS,"Caitlin Walrath																																						Reed Van Schenck																																						Rob Glass","Neg																															Aff																															Aff","2-1																															AFF"
