Aff,Neg,Judges,Votes,Win
Kansas MW,Northwestern DC,"Kevin McCaffrey																																						Allegro Wang																																						Michael Cerny","Neg																															Neg																															Neg","3-0																															NEG"
Wake Forest EP,Macalester PK,"Lee Quinn																																						Jackie Poapst																																						William Repko","Aff																															Neg																															Neg","2-1																															NEG"
George Mason LR,Kentucky RS,"Derek Hilligoss																																						Sherry Hall																																						Sam Gustavson","Aff																															Neg																															Neg","2-1																															NEG"
Georgetown CW,Kansas WW,"Jason Regnier																																						Genevieve Hackman																																						Justin Green","Aff																															Aff																															Aff","3-0																															AFF"
Emory WP,Wake Forest BM,"Will Baker																																						Kwudjwa Osei																																						LaToya Green","Neg																															Neg																															Neg","3-0																															NEG"
Emory LY,Michigan State KL,"Nate Graziano																																						John Katsulas																																						Shannon Howley","Neg																															Neg																															Neg","3-0																															NEG"
Wyoming LP,Emory SR,"Alex Marban																																						Tim Wegener																																						Justice Wallenmeyer","Neg																															Aff																															Neg","2-1																															NEG"
Kentucky AM,Houston KT,"Nick Lepp																																						Brett Bricker																																						Gabriel Morbeck","Aff																															Neg																															Aff","2-1																															AFF"
Wayne State MR,Minnesota JP,"Scott Harris																																						David Kilpatrick																																						Joshua Harrington","Aff																															Neg																															Neg","2-1																															NEG"
CSU Long Beach OF,,,,
Texas DK,,,,
Kansas MP,,,,
Kansas RS,,,,
Kentucky DG,,,,
Georgetown ZZ,,,,
Michigan State GM,,,,
