Aff,Neg,Judges,Votes,Win
Georgetown LW - ONLINE,Northwestern SS,"Devon Cantwell																																						Deven Cooper																																						Beau Larsen","Neg																															Aff																															Aff","2-1																															AFF"
Dartmouth CB,Texas DK,"Joshua Michael																																						Ross Fitzpatrick																																						Taylor Brough","Neg																															Neg																															Aff","2-1																															NEG"
CSU Long Beach FO,Northwestern AR,"Bruce Najor																																						Valerie McIntosh																																						Julian Kuffour","Aff																															Aff																															Aff","3-0																															AFF"
Emory HG - ONLINE,Dartmouth VW,"Theo Noparstak																																						Genevieve Hackman																																						Dallas Perkins","Aff																															Aff																															Aff","3-0																															AFF"
Emory KR,Wake Forest BM,"Gabe Lewis																																						Carly Wunderlich																																						Rafael Pierry","Aff																															Aff																															Aff","3-0																															AFF"
Wake Forest RL,Minnesota JP - ONLINE,"Will Baker																																						jasmine stidham																																						Flynn Makuch","Aff																															Aff																															Aff","3-0																															AFF"
Michigan SG,Kansas MP,"Arvind Shankar																																						William Repko																																						Tim Wegener","Neg																															Aff																															Aff","2-1																															AFF"
Michigan State KL,Kansas RS,"Anthony Trufanov																																						Jeff Buntin																																						Zahir Shaikh","Neg																															Neg																															Neg","3-0																															NEG"
Emory MP,Georgetown SR,"Christopher Callahan																																						Nathan Fleming																																						David Cram Helwich","Aff																															Neg																															Aff","2-1																															AFF"
Southern California RR,Harvard OG,"Alaina Walberg																																						Malone Urfalian																																						Alex Marban","Neg																															Aff																															Neg","2-1																															NEG"
Kentucky GD - ONLINE,UC Berkeley US,"Brandon Kelley																																						Josiah Ferguson																																						Brad Meloche","Aff																															Aff																															Aff","3-0																															AFF"
Kentucky MA - ONLINE,Georgetown WC,"Brett Bricker																																						Kevin McCaffrey																																						David Kilpatrick","Neg																															Neg																															Neg","3-0																															NEG"
Michigan State MG,Wake Forest DS,"Abhis Sedhai																																						Mikaela Malsin																																						Niko Sims","Neg																															Neg																															Neg","3-0																															NEG"
Emory WP - ONLINE,Dartmouth BC,"Ethan Greer																																						Dustin Meyers-Levy																																						Kevin Hirn","Neg																															Aff																															Aff","2-1																															AFF"
Wake Forest PC,Dartmouth/Pennsylvania CE,"Tyler Snelling																																						Matt Liu																																						Jyleesa Hampton","Neg																															Aff																															Aff","2-1																															AFF"
UC Berkeley FT,Northwestern DC,"Adrienne Brovero																																						Young Kwon																																						Aaron Kall","Aff																															Neg																															Neg","2-1																															NEG"
