Aff,Neg,Judges,Votes,Win
Emory LK,Harvard CC,"Arvind Shankar																																						Nathan Rothenbaum																																						Kevin Hirn","Aff																															Neg																															Neg","2-1																															NEG"
Wake Forest BM,Georgetown LW,"Nate Graziano																																						Johnnie Stupek																																						Taylor Johnson","Neg																															Neg																															Neg","3-0																															NEG"
Iowa EC,UTD KP,"Jackie Poapst																																						Addison Wagner																																						Abhis Sedhai","Aff																															Aff																															Aff","3-0																															AFF"
Minnesota JP,Emory KR,"Justin Green																																						Michelle Thomas																																						Lindsey Shook","Neg																															Neg																															Neg","3-0																															NEG"
CSU Long Beach FO,Michigan State BM,"Ben Biggs																																						Douglas Husic																																						Becca Steiner","Aff																															Aff																															Aff","3-0																															AFF"
Dartmouth BC,Kansas HS,"Manny Navarrete																																						Brian DeLong																																						Ian Morris","Aff																															Aff																															Aff","3-0																															AFF"
Kansas WW,Kentucky GD,"Carly Wunderlich																																						Brandon Kelley																																						Sydney Pasquinelli","Neg																															Neg																															Neg","3-0																															NEG"
Michigan PD,Emory SM,"Jeff Buntin																																						Tim Wegener																																						Alaina Walberg","Aff																															Aff																															Aff","3-0																															AFF"
Kansas MP,Michigan SG,"Alden Conner																																						Gabriel Morbeck																																						Michael Hester","Aff																															Aff																															Neg","2-1																															AFF"
Wichita State BB,Dartmouth VW,"Ian Lowery																																						Matt Stannard																																						Joe Weideman","Neg																															Aff																															Aff","2-1																															AFF"
Emory HG,Kentucky MA,"jasmine stidham																																						Gabe Lewis																																						Vida Chiri","Neg																															Neg																															Neg","3-0																															NEG"
Wake Forest SD,Wyoming LP,"Phillip Samuels																																						Spencer Roetlin																																						Kenji Aoki","Neg																															Neg																															Neg","3-0																															NEG"
Kansas RS,George Mason LR,"Tyler Thur																																						Joshua Harrington																																						Rafael Pierry","Aff																															Neg																															Neg","2-1																															NEG"
Dartmouth/Pennsylvania CE,Northwestern SS,"Jamie Davenport																																						Derek Hilligoss																																						Geoff Lundeen","Neg																															Neg																															Neg","3-0																															NEG"
Emory MP,Emory WP,,Emory MP advances,Emory MP advances
Michigan State MG,Michigan State KL,,,"3-0																															AFF"
