Aff,Neg,Judges,Votes,Win
Georgetown LW,George Mason LR,"William Repko																																						Carly Wunderlich																																						Brett Bricker","Aff																															Aff																															Aff","3-0																															AFF"
Wichita State BB,CSU Long Beach OF,"Rob Glass																																						David Kilpatrick																																						Derek Hilligoss","Neg																															Aff																															Neg","2-1																															NEG"
Texas DK,Dartmouth/Pennsylvania CE,"Shree Awsare																																						Viveth Karthikeyan																																						Sean Kennedy","Aff																															Aff																															Aff","3-0																															AFF"
Georgetown WC,Emory KR,"Theo Noparstak																																						Kevin Hirn																																						Rafael Pierry","Aff																															Neg																															Neg","2-1																															NEG"
Wake Forest RL,Northwestern SS,"Niko Sims																																						Brandon Reynolds																																						A J","Aff																															Aff																															Neg","2-1																															AFF"
Harvard OG,Emory MP,"Ryan Galloway																																						Jamie Davenport																																						Dustin Meyers-Levy","Neg																															Neg																															Neg","3-0																															NEG"
Coralynn Yang,Wake Forest BM,"Anthony Trufanov																																						Nina Fridman																																						Kelly Skoulikaris","Aff																															Neg																															Aff","2-1																															AFF"
Minnesota JP,Michigan PD,"Elizabeth Bennett																																						Gabriel Morbeck																																						Tyler Thur","Neg																															Neg																															Neg","3-0																															NEG"
Kentucky GK,Emory HG,"Katie Wimsatt																																						Gabe Lewis																																						Aaron Kall","Aff																															Neg																															Neg","2-1																															NEG"
Wake Forest PC,Harvard CC,"Sam Gustavson																																						Will Baker																																						Julian Kuffour","Neg																															Neg																															Neg","3-0																															NEG"
Wake Forest SD,Baylor HD,"Thomas Buttgereit																																						Joe Schatz																																						Azja Butler","Aff																															Aff																															Aff","3-0																															AFF"
Northwestern DC,Kansas RS,"Johnnie Stupek																																						Genevieve Hackman																																						Valerie McIntosh","Neg																															Neg																															Neg","3-0																															NEG"
Georgetown ZZ,Kansas MP,"James Allan																																						Christopher Callahan																																						Corey Fisher","Aff																															Aff																															Aff","3-0																															AFF"
Kentucky DG,Dartmouth BC,"Nathan Fleming																																						Kevin McCaffrey																																						Jeff Buntin","Neg																															Neg																															Neg","3-0																															NEG"
Wyoming LP,Iowa EC,"LaToya Green																																						Scott Harris																																						Tripp Rebrovick","Neg																															Neg																															Neg","3-0																															NEG"
Michigan State MG,Michigan SG,"Benjamin Morbeck																																						Arvind Shankar																																						Tyler Vergho","Aff																															Aff																															Aff","3-0																															AFF"
