Aff,Neg,Judges,Votes,Win
Emory KR,Dartmouth VW,"Bruce Najor																																						Danielle O'Gorman																																						Michael Scott","Aff																															Aff																															Aff","3-0																															AFF"
Kansas MP,Kentucky MA,"Becca Steiner																																						Kurt Fifelski																																						Nathan Fleming","Aff																															Aff																															Aff","3-0																															AFF"
Northwestern SS,Texas DK,"Chris Loghry																																						Tyler Snelling																																						John Dellamore","Neg																															Neg																															Neg","3-0																															NEG"
Binghamton TC,Michigan State KL,"Sam Gustavson																																						Kenji Aoki																																						Dustin Meyers-Levy","Neg																															Aff																															Neg","2-1																															NEG"
Southern California BA,Michigan PD,"William Jensen																																						Anthony Trufanov																																						Young Kwon","Neg																															Neg																															Neg","3-0																															NEG"
Kentucky GD,Emory CD,"Brandon Kelley																																						Jeff Buntin																																						Bobby Phillips","Aff																															Aff																															Aff","3-0																															AFF"
Georgetown LW,UC Berkeley FT,"Adrienne Brovero																																						Viveth Karthikeyan																																						Rafael Pierry","Aff																															Aff																															Aff","3-0																															AFF"
Minnesota JP,Wake Forest DL,"Will Baker																																						Joshua Harrington																																						Alaina Walberg","Neg																															Neg																															Neg","3-0																															NEG"
Michigan State MG,Wake Forest BM,"Ian Dill																																						Nina Fridman																																						Brett Bricker","Aff																															Aff																															Aff","3-0																															AFF"
George Mason LR,Northwestern DC,"Johnnie Stupek																																						Gabriel Morbeck																																						Mikaela Malsin","Neg																															Neg																															Aff","2-1																															NEG"
Harvard OG,Emory WP,"Devane Murphy																																						Ari Davidson																																						Azja Butler","Aff																															Aff																															Aff","3-0																															AFF"
Wake Forest PC,Kansas RS,"jasmine stidham																																						Shae Bunas																																						Sarah Lundeen","Neg																															Aff																															Neg","2-1																															NEG"
Emory MP,CSU Long Beach OF,"Jackie Poapst																																						Valerie McIntosh																																						Sherry Hall","Neg																															Neg																															Neg","3-0																															NEG"
Iowa CA,Michigan SG,"Addison Wagner																																						Abhis Sedhai																																						Jesse Smith","Neg																															Neg																															Aff","2-1																															NEG"
Emory GH,Emory RS,,Emory GH advances,Emory GH advances
Dartmouth/Pennsylvania CE,Dartmouth BC,,Dartmouth/Pennsylvania CE advances,Dartmouth/Pennsylvania CE advances
