Aff,Neg,Judges,Votes,Win
Michigan PD,Liberty HS,"Spencer Roetlin																																						Brendon Bankey																																						Jesse Smith																																						Eric Morris																																						Genevieve Hackman","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Gonzaga RD,CSU Long Beach OF,"Becca Steiner																																						LaToya Green																																						Geoff Lundeen																																						Eric Lanning																																						John Turner","Neg																															Aff																															Neg																															Neg																															Neg","4-1																															NEG"
Wake Forest RL,Binghamton MP,"Natalie Yehezkel-Stolarski																																						Tyler Snelling																																						Jaysyn Green																																						Jazmine Pickens																																						Kaine Cherry","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Michigan State MG - ONLINE,Georgetown LW,"William Jensen																																						Aaron Kall																																						Josiah Ferguson																																						Brian DeLong																																						Kurt Fifelski","Aff																															Neg																															Aff																															Aff																															Neg","3-2																															AFF"
Harvard OG,Georgetown ZZ,"Kristiana Baez																																						Taylor Brough																																						Amber Kelsie																																						Tessa Harper																																						Anthony Joseph","Neg																															Neg																															Aff																															Neg																															Neg","4-1																															NEG"
Dartmouth/Pennsylvania CE,Emory MP,"Bobby Phillips																																						Nathan Fleming																																						Katie Wimsatt																																						Brandon Kelley																																						Kevin McCaffrey","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Kansas MP,Michigan SG,"Christopher Rascoe																																						Tim Wegener																																						Anthony Trufanov																																						Arvind Shankar																																						Kenji Aoki","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Emory GH,Texas DK,"Ethan Greer																																						Christopher Callahan																																						Erik Mathis																																						Lindsey Shook																																						Kevin Hirn","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Dartmouth BC,Wichita State BB - ONLINE,"Tyler Thur																																						William Repko																																						Shree Awsare																																						Dustin Meyers-Levy																																						Parker Hopkins","Aff																															Aff																															Aff																															Aff																															Neg","4-1																															AFF"
George Mason LR,Emory WP,"Jyleesa Hampton																																						Derek Hilligoss																																						Sam Gustavson																																						Corey Fisher																																						Michael Harrington","Neg																															Aff																															Aff																															Aff																															Neg","3-2																															AFF"
Emory KR,Baylor HD,"Ana Bittner																																						Devane Murphy																																						jasmine stidham																																						Ned Gidley																																						William Coltzer","Aff																															Aff																															Neg																															Aff																															Aff","4-1																															AFF"
Iowa EC,Dartmouth VW,"Scott Harris																																						Sean Kennedy																																						Julian Kuffour																																						Azja Butler																																						Greg Zoda","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Kentucky GD,Georgetown WC,"Deven Cooper																																						David Kilpatrick																																						Gabriel Morbeck																																						Young Kwon																																						Benjamin Morbeck","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Michigan State MK - ONLINE,Wake Forest SD,"Jackie Poapst																																						Chad Meadows																																						Colin Quinn																																						Michael Hester																																						Allegro Wang","Aff																															Neg																															Neg																															Aff																															Neg","3-2																															NEG"
Wake Forest BM,Kansas RS,"Ian Dill																																						Jeff Buntin																																						Mikaela Malsin																																						Eugenia Giampetruzzi																																						Rafael Pierry","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Harvard CC,Northwestern DC,"Ian Morris																																						Alex Marban																																						Johnnie Stupek																																						Valerie McIntosh																																						Kelly Skoulikaris","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
