Aff,Neg,Judges,Votes,Win
Cornel DS,Bingha DM,"Ali Abdulla																																						Heather Hall																																						Doug Dennis","Neg																															Neg																															Neg","3-0																															NEG"
GeoMas AC,Libert HS,"Armands Revelins																																						Daniel Friedman																																						Thomas Buttgereit","Aff																															Neg																															Neg","2-1																															NEG"
Libert YA,,,,
GeoMas ES,,,,
GeoMas NA,,,,
Cornel SV,,,,
Bingha GC,,,,
Housto BA,,,,
Libert FG,,,,
Libert ER,,,,
Bingha LP,,,,
West Point AR,,,,
Cornel FP,,,,
West Point CH,,,,
Libert WW,,,,
Bingha BH,,,,
