Aff,Neg,Judges,Votes,Win
UC Berkeley TB,Northwestern DR,"Gabriel Morbeck																																						Grace Kessler																																						Eugenia Giampetruzzi","Neg																															Neg																															Neg","3-0																															NEG"
Dartmouth CaGu,Michigan PB,"Carly Wunderlich																																						Jordan Di																																						Matthew Granstrom","Neg																															Neg																															Neg","3-0																															NEG"
Dartmouth BC,Kansas WH,"Kieran Lawless																																						Jeff Buntin																																						Ethan Greer","Aff																															Aff																															Aff","3-0																															AFF"
NYU MS,Michigan SS,"Justin Green																																						Hunter McCullough																																						Christopher Callahan","Neg																															Aff																															Aff","2-1																															AFF"
Macalester PK,Northwestern PS,"Taylor Brough																																						Will Baker																																						Nicholas Tilmes","Aff																															Neg																															Aff","2-1																															AFF"
Wake Forest BW,Emory GH,"Kwudjwa Osei																																						Jimin Park																																						Abhis Sedhai","Neg																															Neg																															Neg","3-0																															NEG"
Texas AF,Wake Forest LS,"Deven Cooper																																						Geoff Lundeen																																						Jared Burke","Neg																															Aff																															Aff","2-1																															AFF"
Michigan State GL,Iowa AP,"Nikola Stamenković Diez																																						Armands Revelins																																						Mikaela Malsin","Aff																															Aff																															Aff","3-0																															AFF"
Kansas SL,Harvard DS,"Devane Murphy																																						Joe Weideman																																						Kristopher Wallen","Aff																															Neg																															Aff","2-1																															AFF"
Michigan ES,Kentucky AM,"Kevin McCaffrey																																						Zahir Shaikh																																						Nick Fleming","Aff																															Aff																															Aff","3-0																															AFF"
Emory CP,UC Berkeley MR,"Anthony Trufanov																																						David Cram Helwich																																						Kevin Hirn","Aff																															Aff																															Aff","3-0																															AFF"
Binghamton TC,Emory MR,"Jared DeMunbrun																																						Brendon Bankey																																						Kurt Fifelski","Aff																															Aff																															Neg","2-1																															AFF"
Georgetown CS,Wake Forest BM,"David Griffith																																						Michael Scott																																						Brett Bricker","Neg																															Aff																															Neg","2-1																															NEG"
West Georgia KD,CSU Long Beach OM - ONLINE,"Tessa Harper																																						Tyler Snelling																																						Natalie Yehezkel-Stolarski","Neg																															Aff																															Neg","2-1																															NEG"
Kansas RM,Kansas WW,,,
Emory LY,Emory KP,,,
