Aff,Neg,Judges,Votes,Win
Michigan State AG,Kentucky AE,"Kassie Colón																																						Will Baker																																						Alex Sherman","Neg																															Neg																															Neg","3-0																															NEG"
Michigan State MM,,,Aff BYE,Aff BYE
George Mason RW,,,Aff BYE,Aff BYE
Kentucky RS,,,Aff BYE,Aff BYE
George Mason DF,,,Aff BYE,Aff BYE
Kentucky GS,,,Aff BYE,Aff BYE
Navy CR,,,Aff BYE,Aff BYE
Texas AF,,,Aff BYE,Aff BYE
Western Kentucky FC,,,Aff BYE,Aff BYE
Michigan DS,,,Aff BYE,Aff BYE
Emory PS,,,Aff BYE,Aff BYE
George Mason RR,,,Aff BYE,Aff BYE
James Madison MR,,,Aff BYE,Aff BYE
Michigan State BS,,,Aff BYE,Aff BYE
Liberty LC,,,Aff BYE,Aff BYE
Dartmouth CG,,,Aff BYE,Aff BYE
