Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,Z2,Rand -1HL,Ballots
1,Blaine,Montford,Michigan State MM,Michigan State,MI,176.10,117.30,234.60,234.80,96.38,"29.5,29.2,28.9,29.3,29.3,29.2,29.6,29.6"
2,Tony,Miklovis,Michigan State MM,Michigan State,MI,175.60,117.10,234.10,234.12,77.76,"29.4,29.1,28.8,29.4,29.2,29.3,29.7,29.2"
3,Jeremiah,Rimpson,Kentucky RS,Kentucky,KY,175.50,117.00,233.70,234.12,94.06,"28.8,29.4,29.3,29.4,29.1,29.3,29.1,29.3"
4,Jayden,Cunningham,Liberty LC,Liberty,VA,175.40,116.50,233.80,235.27,51.63,"30,29.1,28.4,30,28.9,29,29.2,29.2"
5,Noah,Reed,George Mason RW,George Mason,VA,175.32,116.80,233.83,204.98,99.26,"29.1,29,29.3,29.5,29.2,29.1,29.4"
6,Anna,Stockstill,Kentucky RS,Kentucky,KY,175.30,116.90,233.60,233.99,31.41,"28.7,29.3,29.1,29.6,29.3,29,29.2,29.4"
7,Jay,Fuchs,George Mason DF,George Mason,VA,175.10,116.60,233.20,233.10,21.71,"29.1,29.2,29.1,29.2,28.7,29.1,29.4,29.4"
8,Truman,Connor,Navy CR,Navy,MD,175.00,116.80,233.30,233.05,43.47,"29.1,29.3,28.9,29.3,29.2,29.2,29.4,28.9"
9,Austin,Davis,George Mason DF,George Mason,VA,175.00,116.70,233.20,232.83,70.51,"29.2,29.3,29.2,29.1,28.9,29,29.2,29.3"
10,Jared,Shirts,Emory PS,Emory,GA,175.00,116.60,233.40,233.84,39.81,"28.9,29.4,29.2,29.1,29,29.3,29.5,29"
11,Ephraim,Bennett,Michigan State BS,Michigan State,MI,174.90,116.70,233.40,233.90,85.92,"29,29.2,29.6,28.9,29.3,28.9,29.2,29.3"
12,Lindsay Jade,Feinstein,Texas AF,Texas,TX,174.90,116.60,233.20,233.15,40.91,"29.2,29.1,29,29.1,28.8,29.2,29.3,29.5"
13,Ashley,Wright,George Mason RW,George Mason,VA,174.84,116.53,233.26,204.25,36.96,"29,29.1,28.8,29.6,29.1,29.2,29.3"
14,Ralph,Anderson,Texas AF,Texas,TX,174.80,116.50,233.00,232.55,22.92,"29,29,29.3,29,28.5,29.3,29.2,29.7"
15,Rae,Fournier,Western Kentucky FC,Western Kentucky,KY,174.80,116.50,232.90,233.45,31.19,"28.8,29.1,28.6,29.1,29.5,29.2,29.5,29.1"
16,Hina,Shehzad,Michigan State BS,Michigan State,MI,174.70,116.50,233.00,233.22,60.81,"29.1,29.1,29.5,28.8,29.4,28.8,29.1,29.2"
17,Ariel,Gabay,Kentucky GS,Kentucky,KY,174.70,116.40,233.40,234.00,94.36,"29,29.2,29.7,29,29.1,29,29.1,29.3"
18,Regan,Slish,Kentucky GS,Kentucky,KY,174.70,116.40,233.00,233.29,6.84,"28.9,29.3,29.6,28.7,29,29.1,29,29.4"
19,Megan,Rodak,George Mason RR,George Mason,VA,174.70,116.40,232.90,232.97,81.28,"29,29.1,29.3,29.3,28.9,29.3,29,29"
20,Sage,Carter,Western Kentucky FC,Western Kentucky,KY,174.50,116.30,232.60,232.85,5.15,"28.9,28.9,28.7,29.2,29.4,29.3,29.2,29"
21,Ben,Saudek,Michigan DS,Michigan,MI,174.48,116.40,232.46,232.23,79.99,"29.2,28.9,29,29.2,29.5,29.1,28.5"
22,arielle,gearring,Michigan State AG,Michigan State,MI,174.10,116.00,231.90,231.84,53.62,"29.5,29.1,28.3,29.2,28.9,29,29,28.9"
23,Rebecca,Davidov,Michigan DS,Michigan,MI,174.00,116.13,232.00,231.56,90.86,"29.1,28.8,29.1,29,29.4,29,28.6"
24,Eunji,Carpenter,Dartmouth CG,Dartmouth,NH,174.00,116.00,231.90,231.91,41.05,"28.6,28.9,29,28.8,29.3,29.1,29.2,29"
25,Wheezy,Ervin,Kentucky AE,Kentucky,KY,173.90,115.90,231.70,231.97,66.39,"29.1,28.9,29.4,28.9,29.3,28.7,29,28.4"
26,Leah,Goldberg,Dartmouth CG,Dartmouth,NH,173.80,115.80,231.80,231.87,25.93,"28.7,29,28.7,28.9,29.2,29.3,29.3,28.7"
27,Vikram,Valame,Georgetown VP,Georgetown,DC,173.70,115.80,231.50,232.35,11.81,"29.2,28.9,29,28.9,28.6,29,28.9,29"
28,Maddie,Augustine,Kentucky AE,Kentucky,KY,173.70,115.70,231.30,231.15,27.53,"29.3,28.7,29.3,28.7,29.2,28.9,28.9,28.3"
29,Roy,Rinehart,James Madison MR,James Madison,VA,173.70,115.60,231.80,232.16,77.65,"29.3,28.9,28.7,29,28.8,28.8,28.9,29.4"
30,Mahi,Shah,Pennsylvania LS,Pennsylvania,PA,173.70,115.60,231.40,231.62,14.42,"28.4,28.9,28.9,28.8,29,29.3,29.3,28.8"
31,Aadit,Agrahara,Michigan State AG,Michigan State,MI,173.60,115.70,231.40,231.04,62.13,"29.4,29,28.4,29,28.8,28.9,29.1,28.8"
32,Katharine,Morley,Dartmouth MR,Dartmouth,NH,173.60,115.60,231.50,231.60,86.74,"28.8,29,29,28.8,28.4,29.5,28.8,29.2"
33,Aaron,Gill,Samford GP,Samford,AL,173.52,115.73,231.09,202.41,69.19,"28.5,29,29,28.9,28.8,29.1,28.9"
34,Glen,Scully,Michigan State JS,Michigan State,MI,173.52,115.60,231.43,202.20,46.12,"28.9,28.9,28.7,29.1,28.9,28.8,29.2"
35,Dean,Richter,George Mason RR,George Mason,VA,173.50,115.70,231.70,231.43,94.24,"28.8,29,29.4,28.9,29,28.8,28.9,28.9"
36,Kacee,Wells,Minnesota UW,Minnesota,MN,173.50,115.70,231.20,231.48,36.89,"29,28.7,29,29.2,29.1,28.8,28.5,28.9"
37,Emmalee,Layton,Liberty LC,Liberty,VA,173.40,115.50,231.60,232.43,1.25,"28.8,28.8,28.3,29.9,28.8,28.9,29,29.1"
38,Sebastian,Rao,Dartmouth MR,Dartmouth,NH,173.40,115.50,231.40,231.40,54.92,"28.9,28.8,29.2,28.7,28.6,29.4,28.7,29.1"
39,Zaria,Jarman,Michigan State JS,Michigan State,MI,173.40,115.47,231.43,202.15,54.59,"29,28.8,28.8,29.2,28.7,28.7,29.3"
