Aff,Neg,Judges,Votes,Win
Houston BA,George Mason NR,"Bryce Rao																																						Tripp Rebrovick																																						Nick Fleming","Neg																															Aff																															Neg","2-1																															NEG"
Wake Forest LH,Navy HK,"Jeff Buntin																																						Viveth Karthikeyan																																						Gabriel Morbeck","Aff																															Aff																															Aff","3-0																															AFF"
Liberty EW,George Mason NA,"Christopher Callahan																																						Anthony Trufanov																																						Johnnie Stupek","Neg																															Neg																															Neg","3-0																															NEG"
Liberty AS,,,Aff BYE,Aff BYE
Southwestern FS - ONLINE,,,Aff BYE,Aff BYE
Liberty HY,,,Aff BYE,Aff BYE
Liberty LT,,,Aff BYE,Aff BYE
George Mason CE,,,Aff BYE,Aff BYE
Liberty FG,,,Aff BYE,Aff BYE
West Georgia RL,,,Aff BYE,Aff BYE
Samford AB - ONLINE,,,Aff BYE,Aff BYE
United States Military FG,,,Aff BYE,Aff BYE
United States Military MC,,,Aff BYE,Aff BYE
Indiana PD,,,Aff BYE,Aff BYE
Georgia Institute of Tech GC,,,Aff BYE,Aff BYE
Louisville NJ - ONLINE,,,Aff BYE,Aff BYE
