Aff,Neg,Judges,Votes,Win
Macalester PK,Emory ST,"Christopher Callahan																																						Anthony Trufanov																																						Gabe Lewis																																						Zidao Wang																																						William Repko","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Stanford LL - ONLINE,Binghamton TC,"Alex McVey																																						Thomas Babcock																																						Solomon Watson																																						Colin Quinn																																						Joshua Harrington","Aff																															Neg																															Neg																															Neg																															Neg","4-1																															NEG"
Kansas MR,Navy CR,"Bryce Rao																																						Aaron Kall																																						Jordan Di																																						Ethan Greer																																						Viveth Karthikeyan","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Houston KA,Northwestern DR,"David Griffith																																						Jimin Park																																						Kevin McCaffrey																																						Valerie McIntosh																																						Brett Bricker","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Michigan BP,Wake Forest BW,"Ali Abdulla																																						Pav Reddy																																						Neil Butt																																						Holden Bukowsky																																						Nikola Stamenković Diez","Aff																															Aff																															Neg																															Aff																															Aff","4-1																															AFF"
CSU Long Beach OM,West Georgia DK,"Natalie Yehezkel																																						Tripp Rebrovick																																						Ryan Cavanaugh																																						Jim Schultz																																						Eric Lanning","Neg																															Aff																															Neg																															Neg																															Neg","4-1																															NEG"
Northwestern PS,Kansas WH,"Devane Murphy																																						Thomas Buttgereit																																						Squid Monteith																																						Dimarvin Puerto																																						Dustin Meyers-Levy","Aff																															Neg																															Aff																															Aff																															Aff","4-1																															AFF"
Kentucky RS,Dartmouth BC,"Geoff Lundeen																																						Shannon Howley																																						Corey Fisher																																						Julian Kuffour																																						Tommy Jordan","Neg																															Aff																															Neg																															Neg																															Aff","3-2																															NEG"
Georgetown CS,Liberty CL,"Deven Cooper																																						Ian Dill																																						DavidMichael Woodward																																						Jack Moore																																						Kristopher Wallen","Aff																															Aff																															Aff																															Neg																															Aff","4-1																															AFF"
Michigan State GL - ONLINE,Southern California BR,"Brandon Kelley																																						Kevin Hirn																																						Jeff Buntin																																						Johnnie Stupek																																						Brian DeLong","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
NYU MS,Michigan State MM - ONLINE,"Kristiana Baez																																						Ari Davidson																																						Dustyn Beutelspacher																																						Michael Hester																																						Spencer Roetlin","Neg																															Aff																															Aff																															Neg																															Neg","3-2																															NEG"
Emory KP,UTD KS,"Joshua Michael																																						DJ Williams																																						Tessa Harper																																						Kwudjwa Osei																																						Jesse Smith","Aff																															Aff																															Aff																															Neg																															Aff","4-1																															AFF"
Georgia IP,Kentucky AM,"Danielle O'Gorman																																						Carly Wunderlich																																						John Katsulas																																						Gabriel Morbeck																																						Henry Mitchell","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Michigan SS,Michigan ES,,,
Wake Forest BM,Wake Forest LS,,,
Emory LY,Emory GY,,,
