Aff,Neg,Judges,Votes,Win
Michigan State GS - ONLINE,Kansas OW,"William Jensen																																						Jim Schultz																																						Solomon Watson","Aff																															Aff																															Aff","3-0																															AFF"
UTD PR,CSU Long Beach OM,"Valerie McIntosh																																						John Turner																																						Adam Symonds","Neg																															Aff																															Neg","2-1																															NEG"
Michigan ES,Liberty CL - ONLINE,"Spencer Roetlin																																						Irshad Reza Husain																																						Carly Wunderlich","Aff																															Aff																															Aff","3-0																															AFF"
Northwestern LR,Michigan State JS - ONLINE,"Nate Martin																																						Adrienne Brovero																																						Danielle O'Gorman","Aff																															Aff																															Aff","3-0																															AFF"
Northwestern AT,UC Berkeley RM,"Kevin Hirn																																						Bryce Rao																																						Brett Bricker","Aff																															Aff																															Aff","3-0																															AFF"
Northwestern NP,Kentucky RW,"kenny delph																																						Ryan Wash																																						Dawn Pierce","Neg																															Neg																															Neg","3-0																															NEG"
Iowa EW - ONLINE,Emory LY - ONLINE,"Joshua Michael																																						Devane Murphy																																						jasmine stidham","Neg																															Neg																															Neg","3-0																															NEG"
Texas FL,Michigan BP,"Johnnie Stupek																																						Tyler Vergho																																						Jenny Vazquez Torres","Neg																															Neg																															Neg","3-0																															NEG"
Iowa PA - ONLINE,Dartmouth CG,"Joe Weideman																																						Thomas Reese																																						Hunter McCullough","Aff																															Neg																															Aff","2-1																															AFF"
Georgetown AC,Wake Forest HN - ONLINE,"Deven Cooper																																						Jason Regnier																																						Tyler Snelling","Neg																															Aff																															Aff","2-1																															AFF"
Kentucky GS,Kansas SL,"Corey Fisher																																						DJ Williams																																						Nick Fleming","Neg																															Neg																															Neg","3-0																															NEG"
Binghamton CK,Michigan AO,"Brendon Bankey																																						Nikola Stamenkovic Diez																																						Kumail Zaidi","Aff																															Aff																															Aff","3-0																															AFF"
Michigan State GL - ONLINE,George Mason WW - ONLINE,"Brandon Kelley																																						Dallas Perkins																																						Viveth Karthikeyan","Aff																															Aff																															Aff","3-0																															AFF"
Kansas SS,Kansas HP - ONLINE,"Brandon Kelley																																						Dallas Perkins																																						Viveth Karthikeyan","Aff																															Aff																															Aff","3-0																															AFF"
Michigan SS,Michigan CC,"Brandon Kelley																																						Dallas Perkins																																						Viveth Karthikeyan","Aff																															Aff																															Aff","3-0																															AFF"
Emory GS - ONLINE,Emory RY _ ONLINE,"Brandon Kelley																																						Dallas Perkins																																						Viveth Karthikeyan","Aff																															Aff																															Aff","3-0																															AFF"
