Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,Z2,Rand -1HL,Ballots
1,Akhil,Khade,NYU KK,NYU,NY,174.36,116.40,231.89,203.49,46.94,"28.1,29,29,29.5,28.7,29.3,29.3"
2,Hiba,Haroon,George Mason HB,George Mason,VA,173.90,116.20,231.60,231.93,17.31,"28.3,28.9,29.3,29,29.1,29.4,28.4,29.2"
3,Isabelle,Poteet,George Mason PA,George Mason,VA,173.80,115.80,231.80,231.90,18.36,"29.5,29.3,28.6,28.7,29.4,28.6,29.2,28.5"
4,Alejandro,Alegre,George Mason PA,George Mason,VA,173.70,115.90,231.50,230.72,75.92,"29.1,29.2,28.7,28.5,29.3,29,29.1,28.6"
5,Emebet,Neale,George Mason ON,George Mason,VA,173.60,115.80,231.40,231.85,75.91,"28.9,28.8,28.4,29.4,28.5,29.2,29.3,28.9"
6,Alexander,Glover,Georgia GR,Georgia,GA,173.60,115.70,230.30,230.26,89.03,"28.8,28.8,29.2,28.7,27.4,29.3,29.2,28.9"
7,Autumn,O'Connor,George Mason ON,George Mason,VA,173.10,115.30,231.00,231.24,89.68,"28.8,28.7,28.5,29,28.7,28.8,29.4,29.1"
8,Darwin,Bryen,Binghamton BM,Binghamton,NY,173.04,115.20,230.29,231.74,18.83,"28.4,28.6,27.8,28.8,29.5,29,29.4"
9,Jonn,Rushing,Kentucky RS,Kentucky,KY,173.00,115.40,229.90,229.02,68.17,"29.3,28.6,27.6,29,28.8,29.1,28.5,29"
10,Muad,Khalif,NYU KK,NYU,NY,172.68,115.60,230.51,201.72,36.54,"28,29.1,28.9,29.8,28,28.7,29.2"
11,Aubrey,Klain,Navy HK,Navy,MD,172.56,115.20,230.29,229.44,86.58,"28.3,28.8,28.8,28.9,28.5,29.4,28.8"
12,Oluwatomisin,Badmus,George Mason HB,George Mason,VA,172.40,115.20,229.80,228.38,82.68,"28.1,28.8,28.9,28.5,29,29.3,28.2,29"
13,Jacob,Skinner,Kentucky RS,Kentucky,KY,172.30,114.90,229.20,228.27,12.96,"29.4,28.5,27.5,29.1,28.6,29,28.3,28.8"
14,Alex,Reed,Georgia GR,Georgia,GA,172.20,114.70,228.70,228.04,43.17,"28.7,28.4,28.7,28.5,27.3,29.2,29.1,28.8"
15,Tanner,Luce,Southern Nazarene JL,Southern Nazarene,OK,171.96,114.80,229.26,228.56,89.03,"28.7,28.6,28.8,28.8,28.4,28.4,28.9"
16,Sophia,Jennings,Southern Nazarene JL,Southern Nazarene,OK,171.84,114.53,229.26,228.69,50.78,"28.6,28.7,28.6,28.9,28.5,28.5,28.8"
17,Robert,Hughes,Navy HK,Navy,MD,171.48,114.40,229.26,227.95,8.24,"28.2,28.7,28.4,28.7,28.4,29.5,28.7"
18,Lucas,McLaughlin,Binghamton BM,Binghamton,NY,170.88,114.13,227.77,228.21,65.96,"28.2,28.4,27.7,28.6,29.2,28.6,28.6"
19,Thomas,Cruzan,Southern Nazarene CD,Southern Nazarene,OK,170.52,113.60,226.97,227.91,59.61,"28.2,28.9,28.2,28.8,27.6,28.9,28"
20,alva,tang,Emory TW,Emory,GA,170.50,113.50,227.70,226.77,45.95,"28.1,29.3,27.9,28.4,28,29,28.7,28.3"
21,Deryk,Doherty,Southern Nazarene CD,Southern Nazarene,OK,170.16,113.60,226.40,226.66,98.04,"28.3,28.8,28.3,28.6,27.5,28.8,27.8"
22,Miles,Woods,Emory TW,Emory,GA,170.10,113.40,227.30,226.78,28.12,"28,28.6,28.3,28.3,28.1,29.2,28.6,28.2"
