Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,Z2,Rand -1HL,Ballots
1,Camila,Rosa-Pérez Montes,George Mason BR,George Mason,VA,175.30,116.90,233.90,235.78,57.95,"28.9,28.9,29.5,29,29.5,29.9,28.7,29.5"
2,Reanna,Vardhanapu,George Mason VF,George Mason,VA,174.90,116.30,232.90,232.55,25.89,"29,29.6,29.7,29,29.1,29,28.3,29.2"
3,Justin,Tseng,NYU TT,NYU,NY,174.80,116.70,233.00,233.87,18.29,"29.2,28.6,29.5,28.9,29.3,29.6,28.6,29.3"
4,Caitlin,Travers,NYU TT,NYU,NY,174.70,116.50,232.60,233.56,96.03,"29.1,28.7,29.2,29,29.2,29.5,28.4,29.5"
5,Ava,Ronchetti,Liberty PR,Liberty,VA,174.50,116.40,232.30,233.24,57.24,"29.3,28.8,29.2,28.7,29.1,29.4,28,29.8"
6,Denzel,Bell,George Mason BR,George Mason,VA,174.40,116.20,233.00,233.58,15.01,"28.8,28.8,29.1,29.1,29.4,30,28.6,29.2"
7,Jason,Guo,Binghamton GG,Binghamton,NY,174.30,116.20,232.50,231.90,15.61,"28.7,28.9,29.4,28.6,29.3,28.7,29.6,29.3"
8,Advika,Gakhare,Binghamton GG,Binghamton,NY,174.20,116.20,232.30,231.65,72.11,"28.9,28.7,29.3,28.7,29.2,28.9,29.2,29.4"
9,Riley,Fariss,George Mason VF,George Mason,VA,174.20,116.10,232.30,231.34,13.74,"29.1,29.1,29.6,29.2,28.9,28.9,28.5,29"
10,Sophia,Peters,Liberty PR,Liberty,VA,174.00,116.10,231.50,232.21,21.92,"29.2,28.7,29.4,28.6,29,29.3,28.1,29.2"
11,Dexter,Simon,Fairmont State AS,Fairmont State,WV,174.00,115.70,232.00,232.33,57.29,"28.3,28.6,29,28.6,29,29.1,29.7,29.7"
12,Austin,Lovette,Wake Forest LP,Wake Forest,NC,173.52,115.47,232.11,231.06,67.77,"28.8,29.4,29.9,28.6,29.1,28.6,28.7"
13,Grant,Kinghorn,Wake Forest KP,Wake Forest,NC,173.50,115.50,231.50,231.91,1.71,"28.6,28.6,29.4,28.1,29.9,28.9,29.3,28.7"
14,Reagan,Allen,Fairmont State AS,Fairmont State,WV,173.20,115.40,230.70,230.28,74.08,"28.2,28.5,29.3,28.5,28.8,29,29.3,29.1"
15,Arryana,Robinson,Binghamton RR,Binghamton,NY,173.10,115.50,230.60,231.65,19.77,"29.1,29.5,28.8,28.3,29.3,29.1,28.5,28"
16,Aubrey,Thomas,Indiana PT,Indiana,IN,173.10,115.40,230.70,231.48,58.54,"29.4,28.2,28.8,28.9,28.9,29.2,28.8,28.5"
