tournament_name,varsity_rounds,junior_varsity_rounds,novice_rounds,round_robin_rounds,season
nuso,6,6,6,0,fall
binghamton,6,6,6,0,fall
kentucky,6,6,6,6,fall
westpoint,6,0,6,0,fall
umw,6,6,6,0,fall
csufpractice,0,0,3,0,fall
wayne,6,6,6,0,fall
harvard,6,6,4,0,fall
liberty,6,6,6,0,fall
uco,6,0,6,0,fall
wake,6,0,0,0,fall
adafc,0,6,6,0,fall
wyo,6,0,6,0,fall

georgetown,8,6,6,0,spring
navy,8,8,8,0,spring
hoosier,6,6,6,0,spring
drr,0,0,0,6,spring
minnesota,6,0,0,0,spring
jmu,6,0,6,0,spring
texas,6,6,6,0,spring
mac,6,5,0,0,spring
adanats,6,6,6,0,spring
d7,0,5,0,0,spring
d8,0,6,0,0,spring
jvnats,0,6,6,0,spring
