tournament_name,varsity_rounds,junior_varsity_rounds,novice_rounds,round_robin_rounds,season,ada_sanctioned
nuso,6,6,0,0,fall,0
gmu,6,6,5,0,fall,1
mostate,6,5,6,0,fall,0
binghamton,6,0,6,0,fall,0
kentucky,6,6,6,6,fall,1
houston,6,6,6,0,fall,0
mukai,6,6,0,0,fall,1
westpoint,6,6,6,0,fall,0
wayne,6,5,0,0,fall,1
harvard,8,6,6,0,fall,0
uco,6,0,6,0,fall,0
wake,7,0,0,0,fall,0
adafc,0,6,6,0,fall,1
monmouth,6,0,6,0,fall,0
bto,6,0,6,0,fall,0
navy,8,8,8,0,spring,1
hoosier,6,6,5,0,spring,1
umn,6,6,0,0,spring,1
liberty,6,6,6,0,spring,1
d7,0,4,0,0,spring,1
adanats,6,6,6,0,spring,1
